label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,11.449,6.801,-1.911,0.000,1.000,0.000,-1.000,0.000,0.000,0.251,0.152,0.220,0
other,9.700,6.779,-2.120,1.000,0.000,0.000,0.000,1.000,0.000,0.390,0.311,0.025,-1
storage,8.083,6.438,-1.721,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.982,0.668,1.334,1
chair,6.370,5.258,-2.539,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.334,0.376,0.460,2
other,6.241,6.806,-2.108,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.127,0.322,0.173,-1
storage,10.957,6.769,-1.615,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.346,0.022,0.031,1
chair,7.233,4.350,-2.572,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.347,0.308,0.494,2
decor,9.155,4.851,-1.397,1.000,0.000,0.000,0.000,1.000,0.000,0.119,0.116,0.115,0
chair,6.340,4.382,-2.568,0.707,0.707,-0.000,-0.707,0.707,0.000,0.365,0.336,0.487,2
chair,7.241,5.232,-2.566,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.331,0.321,0.488,2
decor,9.314,4.476,-2.026,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.148,0.146,0.129,0
chair,8.815,4.187,-2.391,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.421,0.311,0.229,2
storage,11.030,6.437,-1.030,0.000,1.000,-0.000,-1.000,0.000,0.000,0.628,0.578,0.675,1
decor,11.519,6.670,-2.030,0.707,0.707,0.000,-0.707,0.707,0.000,0.188,0.107,0.097,0
decor,6.769,4.761,-2.172,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.122,0.114,0.148,0
decor,9.144,4.084,-1.389,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.122,0.119,0.122,0
storage,11.111,3.160,-1.578,0.707,0.707,-0.000,-0.707,0.707,0.000,0.669,0.389,1.206,1
table,6.788,4.787,-2.586,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.620,0.598,0.284,0
storage,9.528,6.905,-1.031,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.217,0.182,0.675,1
decor,11.530,4.187,-1.993,1.000,0.000,0.000,0.000,1.000,0.000,0.148,0.086,0.149,0
storage,5.642,6.979,-1.031,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.537,0.183,0.675,1
other,11.073,5.154,-2.254,0.000,1.000,0.000,-1.000,0.000,0.000,1.908,0.518,0.148,-1
storage,10.890,4.418,-2.507,0.000,1.000,0.000,-1.000,0.000,0.000,1.990,0.154,0.547,1
storage,8.740,6.422,-2.133,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.463,0.104,0.923,1
decor,11.194,6.952,-2.024,1.000,0.000,0.000,0.000,1.000,0.000,0.131,0.110,0.109,0
chair,8.823,4.733,-2.354,0.000,1.000,0.000,-1.000,0.000,0.000,0.332,0.278,0.192,2
other,11.316,4.685,-2.255,0.000,1.000,0.000,-1.000,0.000,0.000,0.451,0.268,0.175,-1
