label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-14.403,21.323,1.762,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.317,0.241,0.434,1
chair,-15.900,16.450,0.545,0.000,1.000,-0.000,-1.000,0.000,0.000,0.361,0.298,0.495,2
other,-14.713,21.219,0.985,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.601,0.334,0.040,-1
table,-14.810,18.385,3.881,0.000,1.000,0.000,-1.000,0.000,0.000,0.767,0.488,0.245,0
table,-15.482,18.068,0.576,0.000,1.000,0.000,-1.000,0.000,0.000,1.618,1.114,0.557,0
picture,-17.594,18.221,1.611,0.000,1.000,0.000,-1.000,0.000,0.000,0.511,0.026,0.328,1
storage,-17.213,21.308,2.037,1.000,0.000,0.000,0.000,1.000,0.000,0.396,0.273,0.678,1
other,-14.701,18.091,0.836,0.000,1.000,0.000,-1.000,0.000,0.000,0.288,0.215,0.129,-1
other,-14.789,21.072,4.000,1.000,0.000,0.000,0.000,1.000,0.000,1.116,0.455,0.337,-1
other,-17.145,16.259,4.023,1.000,0.000,0.000,0.000,1.000,0.000,0.391,0.267,0.396,-1
other,-15.475,19.283,0.837,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.386,0.217,0.135,-1
chair,-15.101,16.481,0.531,0.000,1.000,0.000,-1.000,0.000,0.000,0.379,0.410,0.510,2
other,-16.835,18.221,3.994,0.000,1.000,0.000,-1.000,0.000,0.000,0.927,0.519,0.359,-1
other,-17.003,21.223,0.526,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.626,0.351,0.483,-1
