label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,4.813,-6.636,3.867,-1.000,0.000,0.000,0.000,-1.000,0.000,0.558,1.212,0.503,2
chair,-0.380,-4.056,3.831,0.000,1.000,0.000,-1.000,0.000,0.000,0.340,0.363,0.482,2
decor,0.022,-8.872,-1.324,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.235,0.176,0.735,0
table,-0.422,-3.397,3.772,1.000,0.000,0.000,0.000,1.000,0.000,0.558,0.496,0.366,0
decor,5.093,-5.746,-1.174,0.383,0.924,-0.000,-0.924,0.383,0.000,0.206,0.204,0.491,0
table,2.339,-6.401,-1.684,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.280,0.726,0.394,0
decor,4.718,-4.375,-0.884,1.000,0.000,0.000,0.000,1.000,0.000,0.573,0.549,1.212,0
table,1.906,-8.822,-1.800,0.000,1.000,0.000,-1.000,0.000,0.000,0.319,0.305,0.263,0
sofa,3.376,-4.970,3.778,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.549,0.912,0.437,2
chair,0.269,-3.454,3.841,-1.000,0.000,0.000,0.000,-1.000,0.000,0.325,0.334,0.472,2
table,4.973,-6.227,-1.696,0.000,1.000,0.000,-1.000,0.000,0.000,0.694,0.356,0.067,0
decor,1.817,-8.866,-1.250,0.924,0.383,-0.000,-0.383,0.924,0.000,0.236,0.194,0.335,0
picture,-0.332,-8.437,-0.102,0.000,1.000,-0.000,-1.000,0.000,0.000,0.575,0.045,0.735,1
sofa,3.791,-8.149,-1.618,0.000,1.000,-0.000,-1.000,0.000,0.000,1.284,1.551,0.475,2
picture,-0.273,-2.009,-0.541,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.421,0.073,0.408,1
table,3.402,-6.557,3.590,0.000,1.000,0.000,-1.000,0.000,0.000,0.681,0.481,0.248,0
