label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-1.694,-0.931,0.894,1.000,0.000,0.000,0.000,1.000,0.000,0.293,0.151,0.080,-1
other,-3.164,-3.180,0.196,0.000,1.000,-0.000,-1.000,0.000,0.000,0.144,0.084,0.185,-1
other,-4.190,-0.969,1.176,0.000,1.000,-0.000,-1.000,0.000,0.000,0.169,0.081,0.170,-1
storage,-2.696,-1.348,0.608,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.592,0.117,0.620,1
other,-3.783,-3.000,0.383,0.383,0.924,0.000,-0.924,0.383,0.000,0.464,0.331,0.418,-1
picture,-3.687,-0.688,1.744,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.250,0.015,0.525,1
other,-3.671,-0.988,0.892,1.000,0.000,0.000,0.000,1.000,0.000,0.482,0.289,0.076,-1
decor,-4.134,-1.036,1.771,1.000,0.000,0.000,0.000,1.000,0.000,0.071,0.037,0.126,0
other,-2.082,-2.770,0.453,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.971,0.555,0.489,-1
picture,-1.692,-0.727,1.745,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.355,0.065,0.536,1
other,-1.208,-1.019,1.141,0.000,1.000,-0.000,-1.000,0.000,0.000,0.119,0.104,0.204,-1
other,-2.703,-1.018,1.032,1.000,0.000,0.000,0.000,1.000,0.000,1.585,0.338,0.234,-1
other,-4.213,-2.780,0.913,0.000,1.000,-0.000,-1.000,0.000,0.000,0.273,0.170,0.315,-1
decor,-1.296,-1.058,1.795,1.000,0.000,0.000,0.000,1.000,0.000,0.075,0.052,0.102,0
