label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-1.956,-7.467,-0.104,1.000,0.000,0.000,0.000,1.000,0.000,0.485,0.479,0.728,0
decor,1.669,-4.854,-0.178,0.000,1.000,-0.000,-1.000,0.000,0.000,0.203,0.115,0.233,0
decor,-1.931,-7.451,1.153,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.159,0.123,0.279,0
storage,-2.125,-7.312,2.791,0.924,0.383,-0.000,-0.383,0.924,0.000,0.506,0.404,0.729,1
table,0.443,-5.331,2.320,0.000,1.000,0.000,-1.000,0.000,0.000,0.834,0.388,0.271,0
picture,1.765,-5.137,0.747,0.000,1.000,-0.000,-1.000,0.000,0.000,0.378,0.037,0.718,1
sofa,0.792,-5.168,2.402,-1.000,0.000,0.000,0.000,-1.000,0.000,1.113,1.936,0.361,2
decor,-2.083,-3.547,-0.397,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.310,0.305,0.178,0
table,1.572,-4.862,-0.635,0.000,1.000,-0.000,-1.000,0.000,0.000,0.240,0.233,0.244,0
other,-1.994,-3.542,0.911,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.138,0.077,0.181,-1
sofa,2.113,-7.318,-0.592,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.319,0.624,0.262,2
bed,-1.216,-5.525,-0.398,1.000,0.000,0.000,0.000,1.000,0.000,1.236,1.173,0.501,2
table,-2.043,-6.892,-0.478,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.219,0.209,0.074,0
picture,1.773,-5.854,0.764,0.000,1.000,-0.000,-1.000,0.000,0.000,0.391,0.034,0.736,1
sofa,1.255,-5.511,-0.486,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.548,0.536,0.390,2
sofa,-1.833,-5.083,2.498,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.654,1.061,0.440,2
other,-2.439,-7.215,0.930,0.000,1.000,-0.000,-1.000,0.000,0.000,0.169,0.013,0.258,-1
table,-1.938,-3.821,-0.539,0.707,0.707,0.000,-0.707,0.707,0.000,0.414,0.314,0.076,0
decor,-2.272,-3.391,2.704,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.195,0.184,0.630,0
