label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-4.787,-2.884,0.569,1.000,0.000,0.000,0.000,1.000,0.000,0.377,0.316,0.543,2
chair,-2.651,-2.861,0.572,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.372,0.294,0.540,2
chair,-2.731,-1.984,0.576,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.369,0.302,0.543,2
sofa,-3.664,-0.082,0.611,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.450,0.807,0.521,2
chair,-4.726,-1.112,0.579,1.000,0.000,0.000,0.000,1.000,0.000,0.364,0.305,0.543,2
other,-3.632,-2.659,0.055,0.000,1.000,0.000,-1.000,0.000,0.000,2.867,1.654,0.056,-1
chair,-2.680,-1.115,0.576,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.373,0.300,0.543,2
chair,-4.742,-1.955,0.575,1.000,0.000,0.000,0.000,1.000,0.000,0.379,0.298,0.544,2
picture,-3.713,-5.422,1.571,1.000,0.000,0.000,0.000,1.000,0.000,0.429,0.035,1.018,1
decor,-2.894,-4.948,1.239,0.383,0.924,-0.000,-0.924,0.383,0.000,0.512,0.227,1.109,0
sofa,-3.733,-3.709,0.580,0.000,1.000,0.000,-1.000,0.000,0.000,0.449,0.812,0.541,2
