label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-0.501,6.010,0.997,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.704,1.491,1.001,2
picture,2.152,1.453,1.617,0.000,1.000,0.000,-1.000,0.000,0.000,0.137,0.013,0.132,1
picture,1.723,6.826,1.734,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.174,0.013,0.126,1
other,-1.341,6.236,3.358,1.000,0.000,0.000,0.000,1.000,0.000,0.377,0.207,0.299,-1
picture,2.160,1.164,1.946,0.000,1.000,-0.000,-1.000,0.000,0.000,0.132,0.010,0.157,1
picture,2.148,6.010,1.810,0.000,1.000,-0.000,-1.000,0.000,0.000,0.101,0.005,0.202,1
table,-1.855,-0.906,3.642,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.410,1.278,0.552,0
picture,1.746,6.823,1.951,1.000,0.000,0.000,0.000,1.000,0.000,0.091,0.004,0.061,1
decor,0.010,3.770,1.548,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.604,0.472,0.451,0
picture,2.146,6.126,1.521,0.000,1.000,-0.000,-1.000,0.000,0.000,0.126,0.010,0.187,1
storage,1.858,5.749,1.071,0.000,1.000,-0.000,-1.000,0.000,0.000,1.070,0.301,1.083,1
other,-0.401,-1.217,2.790,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.111,0.109,0.021,-1
other,0.590,-1.661,2.996,0.924,0.383,0.000,-0.383,0.924,0.000,0.668,0.381,0.233,-1
table,-1.209,0.958,3.387,1.000,0.000,0.000,0.000,1.000,0.000,0.382,0.321,0.304,0
decor,1.912,1.356,1.109,0.000,1.000,0.000,-1.000,0.000,0.000,0.627,0.257,0.250,0
decor,1.797,5.140,2.091,0.000,1.000,0.000,-1.000,0.000,0.000,0.425,0.210,0.222,0
picture,2.157,1.437,1.910,0.000,1.000,0.000,-1.000,0.000,0.000,0.162,0.013,0.143,1
bed,0.066,1.780,3.620,0.000,1.000,0.000,-1.000,0.000,0.000,1.150,1.055,0.575,2
picture,1.170,6.821,1.769,1.000,0.000,0.000,0.000,1.000,0.000,0.163,0.012,0.324,1
other,-0.468,4.588,3.500,1.000,0.000,0.000,0.000,1.000,0.000,0.367,0.279,0.452,-1
decor,-1.932,4.005,3.512,1.000,0.000,0.000,0.000,1.000,0.000,0.308,0.193,0.420,0
picture,2.155,1.293,1.792,0.000,1.000,0.000,-1.000,0.000,0.000,0.286,0.014,0.139,1
decor,-0.127,3.767,1.028,0.383,0.924,-0.000,-0.924,0.383,0.000,0.338,0.333,0.432,0
storage,2.018,1.784,1.161,0.000,1.000,-0.000,-1.000,0.000,0.000,1.131,0.466,1.179,1
picture,2.146,6.354,1.941,0.000,1.000,-0.000,-1.000,0.000,0.000,0.121,0.005,0.152,1
chair,-1.668,3.071,3.639,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.262,0.281,0.216,2
table,1.532,0.937,3.366,1.000,0.000,0.000,0.000,1.000,0.000,0.339,0.297,0.307,0
decor,1.926,6.182,1.064,0.000,1.000,0.000,-1.000,0.000,0.000,0.617,0.231,0.302,0
other,1.283,-1.334,1.347,0.000,1.000,0.000,-1.000,0.000,0.000,2.053,1.194,1.230,-1
picture,2.150,1.235,1.624,0.000,1.000,0.000,-1.000,0.000,0.000,0.162,0.016,0.138,1
other,-1.656,4.580,3.520,1.000,0.000,0.000,0.000,1.000,0.000,0.411,0.278,0.454,-1
chair,-1.855,5.748,3.594,1.000,0.000,0.000,0.000,1.000,0.000,0.350,0.337,0.373,2
chair,-1.241,0.134,3.741,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.389,0.407,0.666,2
chair,-1.344,-0.812,3.654,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.459,0.347,0.576,2
