label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,12.663,-3.696,0.905,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.479,0.101,0.886,1
chair,13.112,-0.975,0.430,0.707,0.707,-0.000,-0.707,0.707,0.000,0.215,0.202,0.411,2
chair,13.155,-2.077,0.433,1.000,0.000,0.000,0.000,1.000,0.000,0.241,0.194,0.411,2
storage,14.063,-3.610,1.210,1.000,0.000,0.000,0.000,1.000,0.000,1.894,0.192,1.192,1
other,13.960,-1.458,0.793,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.233,0.206,0.111,-1
other,13.955,-1.833,0.882,1.000,0.000,0.000,0.000,1.000,0.000,0.240,0.186,0.022,-1
other,13.792,-3.708,1.341,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.554,0.012,0.373,-1
storage,15.638,-0.958,0.463,0.000,1.000,-0.000,-1.000,0.000,0.000,0.311,0.298,0.451,1
storage,15.776,-1.679,1.951,0.000,1.000,0.000,-1.000,0.000,0.000,1.050,0.180,0.448,1
decor,15.765,-0.402,1.227,0.000,1.000,-0.000,-1.000,0.000,0.000,0.182,0.181,0.196,0
decor,15.777,-0.185,1.701,0.000,1.000,-0.000,-1.000,0.000,0.000,0.238,0.168,0.241,0
chair,13.119,-1.569,0.427,0.000,1.000,-0.000,-1.000,0.000,0.000,0.201,0.198,0.416,2
other,14.294,-2.264,0.630,0.000,1.000,-0.000,-1.000,0.000,0.000,0.132,0.048,0.153,-1
storage,15.651,-2.764,0.487,0.000,1.000,0.000,-1.000,0.000,0.000,0.925,0.306,0.464,1
