label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,5.157,18.526,0.777,1.000,0.000,0.000,0.000,1.000,0.000,0.357,0.208,0.137,-1
chair,3.095,16.106,0.368,0.924,0.383,-0.000,-0.383,0.924,0.000,0.265,0.208,0.307,2
storage,1.705,15.324,1.961,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.676,0.198,0.717,1
other,2.562,18.517,0.778,1.000,0.000,0.000,0.000,1.000,0.000,0.372,0.224,0.139,-1
storage,1.856,15.304,0.906,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.340,1.684,0.076,1
storage,6.688,16.319,2.017,0.000,1.000,-0.000,-1.000,0.000,0.000,0.568,0.188,0.657,1
table,3.187,16.332,0.742,0.000,1.000,0.000,-1.000,0.000,0.000,0.519,0.087,0.159,0
chair,3.134,15.198,0.350,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.201,0.193,0.330,2
storage,2.169,15.291,0.422,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.021,1.671,0.411,1
storage,1.850,16.953,0.431,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.021,0.322,0.417,1
table,3.887,15.679,0.483,0.000,1.000,0.000,-1.000,0.000,0.000,1.172,0.804,0.479,0
storage,4.545,18.517,0.826,0.000,1.000,0.000,-1.000,0.000,0.000,0.313,3.018,0.147,1
storage,6.691,13.837,2.048,0.000,1.000,-0.000,-1.000,0.000,0.000,0.533,0.160,0.640,1
storage,4.591,18.230,0.420,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.967,0.033,0.410,1
storage,7.098,18.677,2.143,1.000,0.000,0.000,0.000,1.000,0.000,0.452,0.177,0.570,1
