label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-11.733,2.476,0.501,0.383,0.924,0.000,-0.924,0.383,0.000,0.579,0.487,0.443,2
picture,-7.281,1.423,1.964,0.000,1.000,0.000,-1.000,0.000,0.000,0.248,0.023,0.302,1
decor,-7.677,4.767,1.579,-1.000,0.000,0.000,0.000,-1.000,0.000,0.365,0.234,0.207,0
decor,-8.092,4.302,1.132,0.924,-0.383,0.000,0.383,0.924,0.000,0.106,0.045,0.043,0
decor,-8.445,4.425,1.175,0.000,1.000,0.000,-1.000,0.000,0.000,0.173,0.171,0.099,0
storage,-8.616,0.405,1.221,1.000,0.000,0.000,0.000,1.000,0.000,1.350,0.246,1.206,1
picture,-7.267,1.425,1.370,0.000,1.000,0.000,-1.000,0.000,0.000,0.254,0.021,0.300,1
picture,-12.660,0.205,1.375,-1.000,0.000,0.000,0.000,-1.000,0.000,0.289,0.022,0.234,1
picture,-12.650,0.210,1.877,-1.000,0.000,0.000,0.000,-1.000,0.000,0.292,0.022,0.233,1
picture,-12.529,5.015,1.707,-1.000,0.000,0.000,0.000,-1.000,0.000,0.258,0.025,0.295,1
decor,-13.749,1.154,1.438,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.167,0.099,0.111,0
decor,-8.289,4.636,1.501,-1.000,0.000,0.000,0.000,-1.000,0.000,0.422,0.100,0.179,0
picture,-9.004,4.972,1.706,-1.000,0.000,0.000,0.000,-1.000,0.000,0.269,0.034,0.329,1
chair,-13.990,2.082,0.521,1.000,0.000,-0.000,0.000,1.000,0.000,0.420,0.279,0.499,2
decor,-7.397,4.740,1.754,1.000,0.000,-0.000,0.000,1.000,0.000,0.159,0.155,0.306,0
table,-11.303,3.769,0.326,1.000,0.000,0.000,0.000,1.000,0.000,0.356,0.350,0.269,0
picture,-13.819,1.131,1.962,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.514,0.112,0.340,1
decor,-13.318,0.573,1.545,0.707,0.707,-0.000,-0.707,0.707,0.000,0.106,0.098,0.206,0
chair,-7.789,1.042,0.475,-0.707,0.707,-0.000,-0.707,-0.707,0.000,0.553,0.396,0.448,2
other,-13.794,1.127,0.756,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.888,0.315,0.763,-1
table,-13.652,4.747,0.801,0.707,0.707,0.000,-0.707,0.707,0.000,0.489,0.089,0.149,0
sofa,-10.910,4.809,0.541,0.000,-1.000,-0.000,1.000,0.000,-0.000,0.539,1.193,0.491,2
decor,-14.123,1.715,1.540,0.707,0.707,-0.000,-0.707,0.707,0.000,0.107,0.100,0.204,0
storage,-8.024,4.573,0.855,1.000,0.000,0.000,0.000,1.000,0.000,0.802,0.423,0.797,1
sofa,-11.404,2.433,0.140,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.134,0.388,0.082,2
chair,-13.599,4.282,0.545,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.320,0.389,0.502,2
chair,-12.902,0.538,0.513,0.383,0.924,0.000,-0.924,0.383,0.000,0.376,0.275,0.500,2
sofa,-9.991,2.446,0.508,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.553,0.472,0.441,2
decor,-11.463,3.894,0.540,1.000,0.000,0.000,0.000,1.000,0.000,0.149,0.139,0.079,0
table,-10.345,3.938,0.365,0.000,1.000,0.000,-1.000,0.000,0.000,0.502,0.354,0.318,0
decor,-11.222,3.626,0.550,-1.000,0.000,0.000,0.000,-1.000,0.000,0.206,0.167,0.046,0
