label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-18.657,-19.389,0.688,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.259,0.236,0.053,2
other,-14.145,-21.090,1.394,1.000,0.000,0.000,0.000,1.000,0.000,1.432,0.900,1.312,-1
table,-19.056,-18.583,0.501,0.924,0.383,0.000,-0.383,0.924,0.000,0.290,0.273,0.227,0
sofa,-16.117,-20.711,0.611,0.707,0.707,0.000,-0.707,0.707,0.000,0.416,0.892,0.255,2
chair,-19.305,-18.313,0.702,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.258,0.247,0.058,2
storage,-9.370,-15.412,0.420,0.924,-0.383,0.000,0.383,0.924,0.000,0.776,0.187,0.462,1
table,-15.051,-19.356,0.338,0.924,-0.383,0.000,0.383,0.924,0.000,0.747,0.743,0.188,0
chair,-18.532,-18.507,0.693,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.243,0.228,0.047,2
sofa,-16.022,-18.260,0.680,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.835,1.456,0.520,2
sofa,-19.514,-19.107,0.827,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.364,0.299,0.200,2
