label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-4.345,-1.947,0.315,0.000,1.000,0.000,-1.000,0.000,0.000,0.387,0.354,0.302,0
picture,-4.529,-6.024,1.003,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.089,0.054,0.105,1
picture,-1.217,-1.579,1.924,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.628,0.033,0.781,1
other,-1.486,-5.140,0.082,0.000,1.000,0.000,-1.000,0.000,0.000,2.200,1.543,0.076,-1
picture,-0.789,-5.065,0.647,0.383,0.924,-0.000,-0.924,0.383,0.000,0.124,0.100,0.132,1
decor,-4.539,-5.337,1.125,1.000,0.000,0.000,0.000,1.000,0.000,0.141,0.097,0.214,0
picture,-0.161,-8.936,1.682,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.666,0.040,0.558,1
picture,-0.899,-5.554,0.636,0.924,0.383,-0.000,-0.383,0.924,0.000,0.174,0.147,0.177,1
picture,-4.583,-4.683,0.994,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.084,0.053,0.086,1
decor,-2.573,-1.823,0.832,0.924,0.383,-0.000,-0.383,0.924,0.000,0.256,0.202,0.329,0
table,-1.080,-5.257,0.347,0.000,1.000,0.000,-1.000,0.000,0.000,0.613,0.610,0.316,0
decor,0.337,-2.027,1.456,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.584,0.448,1.061,0
picture,-1.618,-1.671,1.003,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.095,0.094,0.073,1
table,-4.406,-5.348,0.487,0.000,1.000,0.000,-1.000,0.000,0.000,0.933,0.292,0.487,0
sofa,-2.706,-5.349,0.536,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.609,1.182,0.500,2
picture,-1.866,-1.677,1.052,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.175,0.109,0.119,1
other,0.791,-5.350,0.978,0.000,1.000,0.000,-1.000,0.000,0.000,1.329,0.609,0.949,-1
