label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,4.406,3.086,-1.446,0.000,1.000,-0.000,-1.000,0.000,0.000,0.426,0.027,0.459,1
decor,7.332,1.165,-2.425,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.111,0.103,0.408,0
sofa,8.925,1.081,-2.448,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.493,0.399,0.597,2
picture,6.915,-0.643,-1.220,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.750,0.038,0.426,1
decor,7.031,1.154,-2.504,0.924,0.383,-0.000,-0.383,0.924,0.000,0.123,0.112,0.335,0
other,6.887,-0.644,-2.203,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.592,0.042,0.252,-1
table,5.302,-0.867,-2.616,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.472,0.274,0.452,0
sofa,7.398,2.771,-2.587,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.499,1.222,0.490,2
picture,4.400,2.171,-1.446,0.000,1.000,-0.000,-1.000,0.000,0.000,0.408,0.029,0.458,1
decor,4.675,3.960,-2.200,0.000,1.000,-0.000,-1.000,0.000,0.000,0.300,0.284,0.872,0
table,8.545,-0.927,-2.522,1.000,0.000,0.000,0.000,1.000,0.000,0.502,0.300,0.532,0
table,7.198,1.134,-2.736,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.663,0.359,0.128,0
