label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,12.200,10.199,1.522,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.116,1.383,1.495,1
table,14.282,9.405,0.289,0.000,1.000,0.000,-1.000,0.000,0.000,0.512,0.507,0.242,0
sofa,14.898,9.177,0.480,-1.000,0.000,0.000,0.000,-1.000,0.000,1.191,1.748,0.456,2
table,15.547,11.199,0.326,1.000,0.000,0.000,0.000,1.000,0.000,0.368,0.300,0.299,0
other,14.178,9.806,0.059,0.000,1.000,0.000,-1.000,0.000,0.000,1.700,1.050,0.040,-1
decor,15.678,11.231,0.997,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.194,0.139,0.431,0
picture,16.063,8.405,1.649,0.000,1.000,-0.000,-1.000,0.000,0.000,0.401,0.022,0.479,1
storage,12.186,10.341,2.382,0.000,1.000,0.000,-1.000,0.000,0.000,0.191,0.067,0.156,1
picture,15.726,11.488,1.629,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.239,0.026,0.346,1
picture,14.027,7.461,1.611,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.440,0.023,0.415,1
