label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,0.881,-4.740,1.699,1.000,0.000,0.000,0.000,1.000,0.000,0.563,0.018,0.668,1
table,3.046,-2.826,0.445,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.558,0.940,0.420,0
tv,2.746,-1.143,1.532,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.068,0.535,0.345,2
chair,2.334,-1.472,0.574,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.389,0.352,0.548,2
decor,3.762,-2.763,1.180,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.188,0.137,0.379,0
tv,3.366,-2.856,0.994,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.105,0.284,0.200,2
chair,3.581,-1.499,0.571,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.438,0.443,0.552,2
other,2.575,-4.516,0.276,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.252,0.149,0.234,-1
chair,3.018,-3.571,0.765,0.000,1.000,0.000,-1.000,0.000,0.000,0.472,0.370,0.462,2
picture,0.373,-3.517,1.869,0.000,1.000,-0.000,-1.000,0.000,0.000,0.536,0.033,0.560,1
sofa,1.259,-3.931,0.517,0.707,0.707,0.000,-0.707,0.707,0.000,0.539,0.503,0.482,2
