label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,9.359,-3.148,0.170,1.000,0.000,0.000,0.000,1.000,0.000,0.225,0.194,0.165,-1
chair,15.662,-1.668,0.517,-1.000,0.000,0.000,0.000,-1.000,0.000,0.314,0.393,0.235,2
chair,14.186,-1.920,0.508,0.383,0.924,-0.000,-0.924,0.383,0.000,0.310,0.606,0.489,2
decor,10.754,-4.271,1.739,1.000,0.000,0.000,0.000,1.000,0.000,0.160,0.081,0.180,0
storage,12.267,-2.640,0.756,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.307,0.620,0.741,1
tv,12.319,2.281,1.024,0.000,1.000,-0.000,-1.000,0.000,0.000,0.097,0.290,0.185,2
chair,12.269,2.667,0.506,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.317,0.339,0.474,2
chair,13.638,-1.391,0.506,0.924,0.383,-0.000,-0.383,0.924,0.000,0.324,0.378,0.277,2
chair,15.709,-2.352,0.524,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.415,0.330,0.219,2
storage,17.860,3.408,0.434,0.000,1.000,0.000,-1.000,0.000,0.000,0.511,0.185,0.407,1
chair,11.025,-1.843,0.439,1.000,0.000,0.000,0.000,1.000,0.000,0.311,0.290,0.400,2
chair,15.242,-2.766,0.575,1.000,0.000,0.000,0.000,1.000,0.000,0.369,0.332,0.193,2
storage,10.094,-3.676,0.361,0.000,1.000,0.000,-1.000,0.000,0.000,0.279,0.423,0.360,1
storage,9.188,3.756,0.877,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.326,0.480,0.855,1
