label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,1.796,13.932,0.692,1.000,0.000,-0.000,0.000,1.000,0.000,0.481,0.946,0.693,0
storage,-0.204,13.540,0.459,0.000,1.000,0.000,-1.000,0.000,0.000,2.237,0.332,0.461,1
table,1.741,16.296,0.406,0.707,-0.707,0.000,0.707,0.707,0.000,0.367,0.357,0.416,0
chair,0.621,16.221,0.622,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.424,0.383,0.601,2
storage,2.101,9.922,1.513,0.707,0.707,-0.000,-0.707,0.707,0.000,1.074,0.347,1.545,1
chair,2.524,13.937,0.712,-1.000,0.000,-0.000,0.000,-1.000,0.000,0.513,0.463,0.458,2
picture,-0.469,13.577,1.930,0.000,1.000,0.000,-1.000,0.000,0.000,0.949,0.059,0.710,1
sofa,2.763,16.400,0.657,-0.383,-0.924,-0.000,0.924,-0.383,-0.000,0.481,0.373,0.574,2
storage,3.678,11.451,1.501,0.707,0.707,-0.000,-0.707,0.707,0.000,0.399,0.307,1.465,1
storage,3.357,13.829,1.659,-1.000,0.000,0.000,0.000,-1.000,0.000,0.882,2.524,1.655,1
other,2.370,10.679,1.635,0.707,0.707,-0.000,-0.707,0.707,0.000,1.096,0.539,1.637,-1
