label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,1.823,3.983,-2.620,1.000,0.000,0.000,0.000,1.000,0.000,0.463,0.141,0.137,1
decor,1.516,2.052,-2.642,1.000,0.000,0.000,0.000,1.000,0.000,0.129,0.079,0.118,0
tv,4.309,1.203,-1.617,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.150,0.496,0.289,2
picture,4.407,1.432,-2.990,0.000,1.000,-0.000,-1.000,0.000,0.000,0.437,0.075,0.534,1
sofa,0.133,-0.510,-3.173,0.924,0.383,-0.000,-0.383,0.924,0.000,0.588,1.214,0.372,2
storage,4.238,-0.137,-2.413,0.000,1.000,-0.000,-1.000,0.000,0.000,0.926,0.257,1.113,1
table,1.612,2.116,-2.744,1.000,0.000,0.000,0.000,1.000,0.000,0.255,0.175,0.096,0
chair,1.608,2.973,-2.903,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.372,0.336,0.407,2
picture,1.714,4.096,-2.021,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.569,0.038,0.516,1
decor,1.339,0.071,-2.945,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.554,0.231,0.577,0
other,1.756,0.456,-3.521,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.814,1.440,0.035,-1
picture,-0.804,-1.298,-2.240,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.579,0.256,1.284,1
picture,1.284,3.864,-2.512,0.000,1.000,0.000,-1.000,0.000,0.000,0.251,0.138,0.230,1
picture,-0.567,2.968,-2.278,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.363,0.130,0.550,1
storage,1.174,3.673,-2.246,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.464,2.192,1.182,1
