label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,43.228,-16.671,1.187,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.147,0.106,0.128,0
other,40.254,-16.395,1.727,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.081,0.047,0.255,-1
chair,41.961,-14.734,0.259,1.000,0.000,0.000,0.000,1.000,0.000,0.328,0.293,0.271,2
tv,42.021,-16.687,1.813,1.000,0.000,0.000,0.000,1.000,0.000,0.561,0.084,0.502,2
sofa,40.309,-15.605,0.424,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.556,0.921,0.445,2
chair,42.719,-15.545,0.210,1.000,0.000,0.000,0.000,1.000,0.000,0.362,0.290,0.216,2
chair,42.477,-14.668,0.270,1.000,0.000,0.000,0.000,1.000,0.000,0.310,0.308,0.268,2
other,43.967,-16.430,0.162,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.179,0.118,0.144,-1
storage,43.148,-16.634,0.642,0.000,1.000,0.000,-1.000,0.000,0.000,0.161,0.538,0.421,1
table,41.740,-15.594,0.273,1.000,0.000,0.000,0.000,1.000,0.000,0.689,0.403,0.271,0
chair,41.490,-14.767,0.261,1.000,0.000,0.000,0.000,1.000,0.000,0.384,0.302,0.274,2
