label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,12.974,4.625,-2.199,0.000,1.000,0.000,-1.000,0.000,0.000,0.550,0.270,0.114,-1
chair,9.138,3.487,-2.703,0.000,1.000,0.000,-1.000,0.000,0.000,0.240,0.192,0.231,2
other,11.911,3.994,-2.000,0.000,1.000,0.000,-1.000,0.000,0.000,2.940,1.493,0.268,-1
storage,8.073,4.203,-1.100,0.000,1.000,0.000,-1.000,0.000,0.000,1.094,0.034,0.549,1
storage,11.899,1.682,-2.554,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.476,0.489,0.455,1
chair,12.040,1.170,-2.472,0.000,1.000,0.000,-1.000,0.000,0.000,0.331,0.351,0.535,2
storage,11.956,6.318,-2.561,1.000,0.000,0.000,0.000,1.000,0.000,0.818,0.065,0.436,1
storage,8.881,3.498,-1.157,0.000,1.000,-0.000,-1.000,0.000,0.000,0.405,0.358,0.555,1
chair,11.063,1.170,-2.445,0.383,0.924,-0.000,-0.924,0.383,0.000,0.326,0.311,0.513,2
storage,8.097,4.167,-2.539,0.000,1.000,0.000,-1.000,0.000,0.000,1.083,0.040,0.459,1
other,10.788,5.119,-2.179,1.000,0.000,0.000,0.000,1.000,0.000,0.200,0.192,0.105,-1
other,8.382,4.190,-2.047,0.000,1.000,0.000,-1.000,0.000,0.000,1.067,0.376,0.047,-1
storage,9.776,6.532,-1.790,1.000,0.000,0.000,0.000,1.000,0.000,1.593,0.401,1.203,1
other,11.083,4.466,-2.181,0.000,1.000,0.000,-1.000,0.000,0.000,0.958,0.663,0.125,-1
other,8.088,4.190,-2.104,0.000,1.000,0.000,-1.000,0.000,0.000,1.048,0.018,0.054,-1
storage,12.686,3.731,-2.547,0.000,1.000,0.000,-1.000,0.000,0.000,1.592,0.093,0.459,1
storage,11.849,6.611,-1.128,1.000,0.000,0.000,0.000,1.000,0.000,0.608,0.306,0.539,1
storage,8.099,4.198,-2.559,0.000,1.000,0.000,-1.000,0.000,0.000,1.078,0.055,0.422,1
picture,13.267,2.573,-1.138,0.000,1.000,0.000,-1.000,0.000,0.000,0.301,0.022,0.297,1
table,8.840,3.505,-2.246,0.000,1.000,0.000,-1.000,0.000,0.000,0.413,0.345,0.184,0
picture,9.085,3.125,-1.506,1.000,0.000,0.000,0.000,1.000,0.000,0.260,0.036,0.235,1
storage,12.710,6.031,-2.553,0.000,1.000,-0.000,-1.000,0.000,0.000,0.274,0.066,0.441,1
chair,12.976,1.182,-2.470,0.000,1.000,0.000,-1.000,0.000,0.000,0.314,0.333,0.534,2
picture,8.080,4.197,-1.969,0.000,1.000,0.000,-1.000,0.000,0.000,1.077,0.033,0.403,1
storage,9.207,4.556,-1.862,0.000,1.000,-0.000,-1.000,0.000,0.000,0.628,0.045,1.038,1
