label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-6.594,1.572,0.927,1.000,0.000,0.000,0.000,1.000,0.000,1.054,0.451,0.084,-1
other,-6.746,4.430,0.928,1.000,0.000,0.000,0.000,1.000,0.000,0.367,0.229,0.127,-1
other,-6.167,3.951,0.971,1.000,0.000,0.000,0.000,1.000,0.000,1.646,0.877,0.155,-1
storage,-7.470,3.594,0.471,0.000,1.000,0.000,-1.000,0.000,0.000,0.514,0.340,0.464,1
storage,-5.149,4.252,0.446,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.171,0.630,0.442,1
other,-5.723,1.220,1.175,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.954,0.153,1.170,-1
storage,-3.750,3.043,0.872,0.000,1.000,-0.000,-1.000,0.000,0.000,0.718,0.096,0.874,1
storage,-6.442,4.094,0.460,1.000,0.000,0.000,0.000,1.000,0.000,0.716,0.034,0.445,1
picture,-4.203,1.147,1.366,1.000,0.000,0.000,0.000,1.000,0.000,0.384,0.019,0.824,1
storage,-6.725,4.675,1.608,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.160,0.933,0.406,1
picture,-6.723,1.131,2.763,1.000,0.000,0.000,0.000,1.000,0.000,0.752,0.028,0.573,1
storage,-4.157,4.429,1.010,1.000,0.000,0.000,0.000,1.000,0.000,0.375,0.372,0.997,1
