label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,1.074,-20.250,0.224,0.707,0.707,-0.000,-0.707,0.707,0.000,0.225,0.413,0.486,2
sofa,-1.848,-20.788,0.300,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.414,0.383,0.331,2
sofa,-1.186,-20.078,0.188,0.707,-0.707,0.000,0.707,0.707,0.000,0.434,0.430,0.424,2
other,-0.742,-21.093,-0.119,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.860,1.195,0.166,-1
sofa,0.349,-20.799,0.180,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.977,0.443,0.422,2
table,-0.276,-21.459,-0.016,0.707,-0.707,0.000,0.707,0.707,0.000,0.448,0.297,0.224,0
chair,1.290,-20.626,0.196,0.707,-0.707,0.000,0.707,0.707,0.000,0.264,0.048,0.292,2
chair,1.641,-19.531,0.206,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.350,0.247,0.487,2
sofa,0.527,-22.739,0.164,0.707,0.707,0.000,-0.707,0.707,0.000,0.721,0.328,0.374,2
chair,0.828,-19.470,0.228,0.707,-0.707,0.000,0.707,0.707,0.000,0.361,0.279,0.487,2
table,1.229,-19.749,0.430,0.707,-0.707,0.000,0.707,0.707,0.000,0.544,0.517,0.075,0
