label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,18.553,-26.205,2.000,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.120,0.015,0.249,1
tv,21.099,-23.731,1.610,-1.000,0.000,0.000,0.000,-1.000,0.000,0.073,0.492,0.343,2
table,17.205,-25.446,0.319,0.000,1.000,0.000,-1.000,0.000,0.000,0.344,0.241,0.332,0
picture,18.233,-26.203,1.829,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.126,0.015,0.259,1
storage,20.851,-23.887,0.500,0.000,1.000,0.000,-1.000,0.000,0.000,0.539,0.312,0.505,1
decor,17.135,-25.597,1.157,1.000,0.000,0.000,0.000,1.000,0.000,0.169,0.167,0.175,0
picture,17.569,-26.192,1.543,1.000,0.000,0.000,0.000,1.000,0.000,0.133,0.011,0.266,1
decor,20.730,-23.786,1.040,0.000,1.000,0.000,-1.000,0.000,0.000,0.155,0.149,0.058,0
bed,18.038,-24.399,0.663,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.093,0.818,0.675,2
other,20.130,-24.338,3.837,1.000,0.000,0.000,0.000,1.000,0.000,1.059,0.994,0.310,-1
picture,17.887,-26.197,1.697,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.120,0.010,0.246,1
table,18.574,-22.727,3.977,0.383,0.924,-0.000,-0.924,0.383,0.000,0.365,0.361,0.432,0
other,17.191,-23.956,3.982,0.000,1.000,0.000,-1.000,0.000,0.000,0.921,0.055,0.451,-1
