label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,4.753,-2.984,0.491,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.101,0.293,0.481,2
picture,2.876,-5.713,1.613,0.000,1.000,-0.000,-1.000,0.000,0.000,0.416,0.032,0.534,1
picture,4.834,-6.180,2.238,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.529,0.068,0.487,1
chair,5.750,-7.207,0.316,0.000,1.000,-0.000,-1.000,0.000,0.000,0.089,0.240,0.384,2
chair,3.764,-4.375,0.444,1.000,0.000,0.000,0.000,1.000,0.000,0.424,0.277,0.495,2
table,5.955,-7.249,0.386,0.000,1.000,-0.000,-1.000,0.000,0.000,0.062,0.711,0.421,0
picture,3.993,-6.746,1.449,0.000,1.000,-0.000,-1.000,0.000,0.000,0.291,0.021,0.540,1
chair,5.797,-4.226,0.454,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.332,0.339,0.495,2
table,5.967,-6.916,0.335,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.346,0.704,0.404,0
picture,5.819,-6.878,0.823,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.102,0.074,0.127,1
decor,4.734,-4.013,1.031,1.000,0.000,0.000,0.000,1.000,0.000,0.390,0.297,0.389,0
chair,5.848,-3.709,0.499,-1.000,0.000,0.000,0.000,-1.000,0.000,0.282,0.295,0.460,2
chair,4.763,-4.993,0.443,0.000,1.000,0.000,-1.000,0.000,0.000,0.132,0.291,0.497,2
storage,4.787,-7.237,1.421,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.611,0.071,1.397,1
chair,3.426,-3.839,0.695,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.073,0.154,0.236,2
table,4.726,-4.026,0.680,1.000,0.000,0.000,0.000,1.000,0.000,1.141,1.008,0.149,0
storage,5.990,-6.918,2.064,1.000,0.000,0.000,0.000,1.000,0.000,0.713,0.345,0.866,1
chair,5.137,-3.204,0.459,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.354,0.377,0.505,2
picture,5.097,-6.045,2.032,1.000,0.000,0.000,0.000,1.000,0.000,0.434,0.194,0.425,1
chair,4.236,-4.768,0.449,0.000,1.000,-0.000,-1.000,0.000,0.000,0.367,0.269,0.490,2
chair,4.040,-3.030,0.482,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.160,0.274,0.483,2
storage,4.664,-7.191,1.199,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.667,0.102,1.255,1
chair,5.373,-4.869,0.456,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.246,0.385,0.496,2
storage,5.003,-5.996,1.070,0.000,1.000,-0.000,-1.000,0.000,0.000,0.244,0.681,1.124,1
