label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,11.696,-0.526,-2.606,0.000,1.000,-0.000,-1.000,0.000,0.000,0.283,0.252,0.385,0
decor,12.722,-2.233,-1.941,0.924,0.383,0.000,-0.383,0.924,0.000,0.178,0.121,0.132,0
chair,10.987,-0.473,-2.443,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.371,0.297,0.455,2
table,12.998,-2.246,-2.528,1.000,0.000,0.000,0.000,1.000,0.000,0.719,0.298,0.484,0
chair,13.340,-0.495,-2.365,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.373,0.293,0.373,2
chair,11.707,-1.002,-2.489,0.000,1.000,-0.000,-1.000,0.000,0.000,0.425,0.298,0.494,2
chair,11.714,0.089,-2.487,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.384,0.311,0.497,2
chair,12.692,-1.141,-2.447,0.000,1.000,-0.000,-1.000,0.000,0.000,0.370,0.294,0.454,2
decor,13.241,-2.137,-1.868,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.083,0.072,0.192,0
chair,12.698,0.044,-2.423,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.371,0.297,0.425,2
decor,13.251,-2.324,-1.828,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.084,0.081,0.232,0
table,12.681,-0.494,-2.563,1.000,0.000,0.000,0.000,1.000,0.000,0.258,0.229,0.325,0
decor,14.539,1.278,-2.573,0.000,1.000,-0.000,-1.000,0.000,0.000,0.361,0.260,0.442,0
decor,13.072,-2.256,-1.869,0.707,0.707,-0.000,-0.707,0.707,0.000,0.079,0.077,0.191,0
