label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,15.512,-0.804,-0.277,0.707,0.707,0.000,-0.707,0.707,0.000,0.380,0.216,0.283,0
table,13.444,-2.952,-0.147,1.000,0.000,0.000,0.000,1.000,0.000,0.386,0.261,0.414,0
picture,18.074,-3.161,0.858,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.504,0.179,0.577,1
chair,15.149,-1.236,-0.132,0.924,0.383,-0.000,-0.383,0.924,0.000,0.289,0.276,0.414,2
table,15.709,-1.453,0.111,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.153,0.650,0.100,0
chair,16.447,-1.364,-0.109,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.383,0.298,0.391,2
chair,16.131,-0.807,-0.137,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.378,0.273,0.417,2
storage,14.387,1.289,-0.167,1.000,0.000,0.000,0.000,1.000,0.000,1.258,0.270,0.396,1
table,15.777,-1.733,-0.293,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.475,0.335,0.266,0
chair,15.404,-2.021,-0.130,0.924,0.383,-0.000,-0.383,0.924,0.000,0.337,0.293,0.415,2
