label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-11.799,-0.622,1.536,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.378,0.029,0.501,1
decor,-10.335,-7.784,1.045,0.000,1.000,-0.000,-1.000,0.000,0.000,0.258,0.216,0.283,0
decor,-8.656,-6.912,1.834,0.000,1.000,0.000,-1.000,0.000,0.000,0.075,0.047,0.031,0
storage,-13.853,-4.017,1.246,0.000,1.000,-0.000,-1.000,0.000,0.000,0.508,0.235,1.258,1
other,-13.722,-5.448,0.556,0.000,1.000,0.000,-1.000,0.000,0.000,0.990,0.247,0.552,-1
tv,-9.169,-7.890,1.095,0.000,1.000,0.000,-1.000,0.000,0.000,0.146,0.443,0.275,2
storage,-13.831,-5.448,1.270,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.125,0.840,0.233,1
table,-10.803,-4.189,0.389,1.000,0.000,0.000,0.000,1.000,0.000,0.202,0.181,0.225,0
table,-11.846,-5.371,0.348,1.000,0.000,0.000,0.000,1.000,0.000,0.709,0.526,0.327,0
decor,-8.623,-4.374,1.752,0.000,1.000,-0.000,-1.000,0.000,0.000,0.081,0.072,0.133,0
sofa,-11.797,-6.781,0.467,0.000,1.000,0.000,-1.000,0.000,0.000,0.534,1.004,0.487,2
sofa,-11.930,-3.953,0.450,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.505,1.025,0.466,2
storage,-13.610,-7.209,1.250,0.000,1.000,-0.000,-1.000,0.000,0.000,0.854,0.466,1.262,1
other,-11.864,-0.657,1.237,1.000,0.000,0.000,0.000,1.000,0.000,2.126,0.056,1.265,-1
