label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-5.877,8.688,0.576,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.398,0.363,0.419,2
sofa,-7.245,9.353,0.582,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.562,0.890,0.542,2
decor,-0.290,1.595,0.692,1.000,0.000,0.000,0.000,1.000,0.000,0.327,0.320,0.666,0
table,-4.950,1.098,0.411,0.924,0.383,-0.000,-0.383,0.924,0.000,0.341,0.295,0.413,0
table,-6.726,5.871,0.252,0.000,1.000,0.000,-1.000,0.000,0.000,0.639,0.369,0.226,0
table,-6.802,8.251,0.303,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.246,0.241,0.277,0
table,-7.710,8.200,0.344,0.000,1.000,-0.000,-1.000,0.000,0.000,0.265,0.241,0.317,0
table,-5.168,4.365,0.500,1.000,0.000,0.000,0.000,1.000,0.000,0.485,0.293,0.495,0
decor,-4.924,7.397,1.232,1.000,0.000,0.000,0.000,1.000,0.000,0.196,0.187,0.346,0
table,-5.079,7.408,0.440,0.000,1.000,-0.000,-1.000,0.000,0.000,0.359,0.352,0.414,0
chair,-3.938,7.223,0.773,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.452,0.395,0.749,2
chair,3.413,8.053,0.560,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.496,0.382,0.392,2
sofa,-8.893,6.970,0.526,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.455,0.458,0.340,2
picture,-4.393,5.902,1.846,0.000,1.000,0.000,-1.000,0.000,0.000,0.797,0.068,0.767,1
sofa,-6.879,4.213,0.500,0.000,1.000,0.000,-1.000,0.000,0.000,0.591,0.524,0.478,2
picture,-3.320,-0.441,1.654,1.000,0.000,0.000,0.000,1.000,0.000,0.534,0.061,0.956,1
picture,-4.402,0.401,1.844,0.000,1.000,-0.000,-1.000,0.000,0.000,0.622,0.063,0.734,1
decor,-9.865,7.567,0.734,0.000,1.000,-0.000,-1.000,0.000,0.000,0.199,0.191,0.713,0
picture,-9.669,5.774,2.450,0.000,1.000,0.000,-1.000,0.000,0.000,0.574,0.066,0.510,1
picture,2.711,-0.481,1.861,1.000,0.000,0.000,0.000,1.000,0.000,0.498,0.044,0.813,1
chair,3.340,10.325,0.563,-0.924,-0.383,-0.000,0.383,-0.924,0.000,0.517,0.431,0.504,2
table,-4.100,5.870,0.539,0.000,1.000,0.000,-1.000,0.000,0.000,1.020,0.354,0.541,0
decor,-1.693,4.434,1.094,0.000,1.000,-0.000,-1.000,0.000,0.000,0.447,0.327,1.086,0
other,-9.787,5.758,0.353,0.000,1.000,0.000,-1.000,0.000,0.000,0.592,0.114,0.311,-1
decor,-4.967,4.404,1.235,0.000,1.000,-0.000,-1.000,0.000,0.000,0.254,0.204,0.409,0
decor,-9.935,3.931,0.722,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.229,0.202,0.726,0
sofa,-8.459,4.234,0.504,0.000,1.000,0.000,-1.000,0.000,0.000,0.591,0.505,0.479,2
decor,1.120,4.369,1.124,0.000,1.000,-0.000,-1.000,0.000,0.000,0.450,0.350,1.105,0
sofa,-5.331,5.854,0.463,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.623,1.292,0.440,2
picture,3.873,7.928,1.558,0.000,1.000,-0.000,-1.000,0.000,0.000,0.241,0.030,0.319,1
other,-0.289,1.531,3.486,1.000,0.000,0.000,0.000,1.000,0.000,0.096,0.095,0.145,-1
picture,3.873,2.884,1.861,0.000,1.000,-0.000,-1.000,0.000,0.000,0.753,0.036,0.909,1
chair,-3.922,4.365,0.778,0.924,0.383,-0.000,-0.383,0.924,0.000,0.494,0.465,0.764,2
decor,-9.627,8.868,0.247,0.000,1.000,0.000,-1.000,0.000,0.000,0.294,0.273,0.227,0
