label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,1.239,15.127,0.540,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.382,0.419,0.516,2
decor,1.794,12.984,0.251,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.101,0.070,0.177,0
chair,2.684,14.866,0.548,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.534,0.416,0.542,2
other,3.812,14.652,1.938,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.249,0.245,0.130,-1
decor,3.919,15.145,0.949,0.924,0.383,-0.000,-0.383,0.924,0.000,0.120,0.093,0.202,0
picture,2.079,14.885,0.818,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.179,0.106,0.108,1
table,1.892,14.793,0.389,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.435,0.432,0.360,0
decor,1.757,12.975,0.433,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.325,0.160,0.360,0
tv,3.568,14.930,1.009,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.150,0.373,0.247,2
decor,2.312,13.079,0.283,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.373,0.198,0.223,0
tv,2.372,13.104,1.823,0.383,0.924,-0.000,-0.924,0.383,0.000,0.140,0.528,0.332,2
decor,2.573,12.904,1.373,1.000,0.000,0.000,0.000,1.000,0.000,0.125,0.058,0.111,0
picture,1.881,13.043,0.191,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.130,0.114,0.119,1
table,4.579,15.503,0.528,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.387,0.712,0.525,0
decor,3.044,12.916,1.456,1.000,0.000,0.000,0.000,1.000,0.000,0.105,0.058,0.171,0
table,3.730,14.452,0.436,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.453,0.861,0.470,0
chair,5.205,14.012,0.163,0.000,1.000,0.000,-1.000,0.000,0.000,0.224,0.172,0.163,2
chair,4.489,14.429,0.580,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.407,0.366,0.588,2
other,0.194,14.054,2.501,0.000,1.000,0.000,-1.000,0.000,0.000,0.171,0.163,0.138,-1
decor,2.734,12.921,0.406,0.707,0.707,-0.000,-0.707,0.707,0.000,0.094,0.074,0.304,0
other,4.444,14.206,2.623,0.000,1.000,0.000,-1.000,0.000,0.000,0.148,0.146,0.026,-1
decor,2.047,12.912,1.369,1.000,0.000,0.000,0.000,1.000,0.000,0.132,0.064,0.102,0
decor,1.603,12.907,1.493,1.000,0.000,0.000,0.000,1.000,0.000,0.093,0.062,0.209,0
other,2.208,12.946,0.657,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.040,0.408,0.672,-1
storage,4.403,12.729,1.248,1.000,0.000,0.000,0.000,1.000,0.000,0.945,0.243,1.268,1
decor,2.004,14.970,1.166,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.145,0.105,0.234,0
