label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,17.824,2.859,0.344,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.369,0.303,0.348,2
chair,17.332,2.428,0.310,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.368,0.312,0.395,2
chair,18.480,1.839,0.367,-1.000,0.000,0.000,0.000,-1.000,0.000,0.267,0.447,0.372,2
tv,17.020,4.825,1.840,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.131,0.603,0.368,2
chair,17.853,0.760,0.368,0.000,1.000,0.000,-1.000,0.000,0.000,0.277,0.288,0.378,2
chair,17.241,1.796,0.363,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.279,0.371,0.377,2
table,17.872,1.819,0.292,0.000,1.000,0.000,-1.000,0.000,0.000,1.050,0.517,0.388,0
chair,17.317,1.333,0.365,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.305,0.316,0.375,2
chair,18.479,1.262,0.374,-1.000,0.000,0.000,0.000,-1.000,0.000,0.264,0.288,0.369,2
chair,18.420,2.455,0.368,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.320,0.270,0.364,2
