label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-10.215,8.575,0.966,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.428,1.504,0.974,0
picture,-10.328,11.320,1.764,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.401,0.033,0.589,1
storage,-10.320,11.043,0.442,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.906,0.326,0.443,1
decor,-9.696,11.191,0.976,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.299,0.147,0.139,0
picture,-11.221,7.913,1.653,0.000,1.000,-0.000,-1.000,0.000,0.000,0.623,0.030,0.648,1
table,-8.779,8.336,0.956,-1.000,0.000,0.000,0.000,-1.000,0.000,0.449,1.318,0.958,0
decor,-10.944,5.210,0.358,1.000,0.000,0.000,0.000,1.000,0.000,0.135,0.103,0.343,0
decor,-10.961,11.129,1.067,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.267,0.221,0.217,0
other,-10.379,11.090,0.891,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.401,0.252,0.064,-1
picture,-8.464,11.531,1.572,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.769,0.142,0.473,1
other,-5.846,9.708,0.571,0.000,1.000,0.000,-1.000,0.000,0.000,1.171,1.003,0.572,-1
decor,-9.483,10.999,0.911,0.000,1.000,0.000,-1.000,0.000,0.000,0.164,0.085,0.077,0
