label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,0.058,-3.933,4.461,1.000,0.000,0.000,0.000,1.000,0.000,0.240,0.008,0.314,1
picture,0.066,-3.942,5.170,1.000,0.000,0.000,0.000,1.000,0.000,0.243,0.018,0.323,1
picture,-0.560,-3.937,4.277,1.000,0.000,0.000,0.000,1.000,0.000,0.306,0.024,0.236,1
picture,0.554,-2.772,3.959,0.000,1.000,-0.000,-1.000,0.000,0.000,0.267,0.021,0.312,1
picture,0.558,-0.874,2.529,0.000,1.000,0.000,-1.000,0.000,0.000,0.303,0.018,0.243,1
picture,0.533,-3.388,4.475,0.000,1.000,-0.000,-1.000,0.000,0.000,0.243,0.013,0.323,1
picture,0.562,-0.893,2.578,0.000,1.000,0.000,-1.000,0.000,0.000,0.325,0.024,0.238,1
picture,-0.577,-3.941,4.907,1.000,0.000,0.000,0.000,1.000,0.000,0.254,0.020,0.344,1
picture,0.147,-1.005,3.506,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.273,0.019,0.365,1
picture,0.549,-1.466,3.013,0.000,1.000,0.000,-1.000,0.000,0.000,0.297,0.022,0.257,1
picture,0.550,-3.404,3.848,0.000,1.000,0.000,-1.000,0.000,0.000,0.207,0.020,0.192,1
picture,0.552,-2.098,3.529,0.000,1.000,0.000,-1.000,0.000,0.000,0.347,0.018,0.320,1
picture,0.036,-3.925,3.907,1.000,0.000,0.000,0.000,1.000,0.000,0.194,0.011,0.197,1
