label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-8.402,-1.988,1.479,0.000,1.000,-0.000,-1.000,0.000,0.000,0.422,0.026,0.434,-1
storage,-2.211,-1.786,0.450,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.216,0.555,0.468,1
chair,-7.634,-1.319,0.385,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.310,0.252,0.365,2
storage,-4.159,-0.967,1.155,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.979,0.071,1.164,1
storage,-2.001,-1.549,1.817,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.335,0.738,0.510,1
other,-4.243,-3.023,0.871,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.831,0.860,0.244,-1
storage,-5.418,-0.110,1.545,0.000,1.000,0.000,-1.000,0.000,0.000,0.843,0.192,0.670,1
other,-5.566,-0.085,0.922,0.000,1.000,0.000,-1.000,0.000,0.000,0.821,0.318,0.032,-1
storage,-4.188,-3.026,0.455,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.782,0.856,0.462,1
storage,-2.787,-3.708,1.804,1.000,0.000,0.000,0.000,1.000,0.000,0.413,0.182,0.480,1
storage,-5.528,-3.704,1.853,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.597,0.174,0.545,1
other,-2.305,-1.541,0.921,0.000,1.000,0.000,-1.000,0.000,0.000,1.271,0.877,0.047,-1
chair,-7.549,-0.145,0.385,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.318,0.193,0.362,2
chair,-5.960,-2.746,0.312,0.000,1.000,-0.000,-1.000,0.000,0.000,0.234,0.207,0.305,2
other,-4.081,-3.611,0.846,1.000,0.000,0.000,0.000,1.000,0.000,0.358,0.256,0.153,-1
chair,-5.952,-3.472,0.307,-1.000,0.000,0.000,0.000,-1.000,0.000,0.213,0.302,0.312,2
storage,-5.564,-0.098,0.479,0.000,1.000,0.000,-1.000,0.000,0.000,0.835,0.323,0.473,1
chair,-7.234,-0.903,0.388,-1.000,0.000,0.000,0.000,-1.000,0.000,0.208,0.306,0.376,2
chair,-8.039,-0.841,0.372,0.707,0.707,-0.000,-0.707,0.707,0.000,0.364,0.332,0.380,2
