label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,12.756,-3.716,0.399,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.530,1.200,0.466,2
decor,13.182,1.292,1.253,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.383,0.337,0.810,0
decor,12.887,-2.011,0.860,0.000,1.000,0.000,-1.000,0.000,0.000,0.262,0.154,0.138,0
decor,12.845,-5.726,1.591,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.118,0.074,0.123,0
decor,12.080,-5.967,2.257,1.000,0.000,0.000,0.000,1.000,0.000,0.102,0.101,0.182,0
decor,11.627,-6.004,1.916,1.000,0.000,0.000,0.000,1.000,0.000,0.519,0.107,0.180,0
decor,12.896,-1.790,1.253,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.190,0.179,0.356,0
decor,12.397,1.360,0.584,0.383,0.924,-0.000,-0.924,0.383,0.000,0.267,0.166,0.313,0
decor,10.791,1.556,1.294,0.000,1.000,0.000,-1.000,0.000,0.000,0.204,0.199,0.166,0
picture,11.283,-6.067,2.797,1.000,0.000,0.000,0.000,1.000,0.000,0.728,0.035,0.715,1
picture,12.985,1.711,1.951,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.750,0.068,0.959,1
other,11.282,-5.886,1.174,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.333,0.393,1.223,-1
table,9.524,0.739,0.315,0.924,0.383,-0.000,-0.383,0.924,0.000,0.295,0.275,0.365,0
decor,11.152,-3.401,0.656,1.000,0.000,0.000,0.000,1.000,0.000,0.167,0.145,0.234,0
sofa,9.642,-2.870,0.402,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.457,0.438,0.391,2
picture,10.653,-6.421,5.262,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.612,0.020,0.482,1
sofa,10.981,-1.322,0.300,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.573,1.159,0.440,2
sofa,10.424,1.213,0.482,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.571,0.635,0.552,2
decor,12.744,-5.850,1.368,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.221,0.208,0.243,0
decor,10.941,-3.586,0.580,0.383,0.924,0.000,-0.924,0.383,0.000,0.171,0.097,0.162,0
sofa,9.627,-4.463,0.355,0.924,0.383,0.000,-0.383,0.924,0.000,0.457,0.452,0.402,2
table,12.703,-1.964,0.421,0.707,0.707,-0.000,-0.707,0.707,0.000,0.403,0.403,0.455,0
decor,9.050,-5.912,0.547,0.000,1.000,-0.000,-1.000,0.000,0.000,0.224,0.174,0.311,0
decor,12.581,-2.077,0.822,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.147,0.088,0.103,0
decor,9.550,-5.833,1.210,0.000,1.000,-0.000,-1.000,0.000,0.000,0.436,0.395,0.760,0
decor,13.426,-5.796,1.560,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.649,0.381,1.185,0
decor,11.306,-3.793,0.766,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.183,0.165,0.335,0
table,11.133,-3.770,0.452,0.000,1.000,0.000,-1.000,0.000,0.000,0.785,0.656,0.500,0
