label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,6.561,0.430,0.870,-1.000,0.000,0.000,0.000,-1.000,0.000,0.118,0.524,0.156,1
storage,6.564,-4.408,1.772,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.115,0.537,0.156,1
decor,6.416,-2.384,2.937,0.383,0.924,0.000,-0.924,0.383,0.000,0.453,0.218,0.239,0
sofa,4.020,-1.994,0.504,0.000,1.000,0.000,-1.000,0.000,0.000,2.347,1.084,0.478,2
storage,6.557,0.431,1.829,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.120,0.527,0.148,1
table,3.968,-2.026,0.261,0.000,1.000,0.000,-1.000,0.000,0.000,0.588,0.579,0.227,0
other,5.413,-5.671,3.026,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.876,0.022,0.057,-1
sofa,2.366,-2.478,0.480,1.000,0.000,0.000,0.000,1.000,0.000,0.477,0.418,0.454,2
sofa,4.013,-0.168,0.516,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.517,1.091,0.473,2
decor,6.545,-4.382,2.065,0.000,1.000,-0.000,-1.000,0.000,0.000,0.154,0.123,0.224,0
tv,6.573,-2.021,1.730,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.104,1.072,0.656,2
storage,6.546,-1.993,2.666,-1.000,0.000,0.000,0.000,-1.000,0.000,0.117,1.145,0.170,1
storage,6.544,0.414,2.690,-1.000,0.000,0.000,0.000,-1.000,0.000,0.119,0.541,0.171,1
storage,6.566,-4.413,0.887,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.117,0.533,0.123,1
picture,4.135,-1.985,1.450,0.000,1.000,0.000,-1.000,0.000,0.000,3.469,0.982,1.231,1
picture,6.581,-2.101,1.693,0.000,1.000,0.000,-1.000,0.000,0.000,2.631,0.098,0.710,1
chair,2.374,-1.452,0.475,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.485,0.409,0.461,2
storage,6.554,-4.400,2.620,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.117,0.537,0.127,1
