label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-8.633,10.592,1.470,1.000,0.000,0.000,0.000,1.000,0.000,0.825,0.031,1.166,1
picture,-10.268,14.225,1.324,0.000,1.000,-0.000,-1.000,0.000,0.000,0.309,0.025,0.414,1
chair,-8.521,14.610,0.277,0.000,1.000,0.000,-1.000,0.000,0.000,0.295,0.274,0.286,2
picture,-10.258,15.044,1.305,0.000,1.000,-0.000,-1.000,0.000,0.000,0.321,0.036,0.404,1
table,-8.284,14.987,0.461,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.737,0.402,0.350,0
picture,-7.058,14.967,1.288,0.000,1.000,-0.000,-1.000,0.000,0.000,0.315,0.021,0.415,1
chair,-9.160,14.972,0.280,1.000,0.000,0.000,0.000,1.000,0.000,0.295,0.292,0.285,2
chair,-9.957,11.333,3.913,0.924,0.383,-0.000,-0.383,0.924,0.000,0.440,0.326,0.404,2
other,-10.222,11.923,2.568,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.059,0.039,0.039,-1
bed,-7.682,12.906,3.838,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.997,0.592,0.346,2
other,-10.219,13.607,2.578,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.065,0.033,0.041,-1
