label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,11.551,2.130,0.838,0.000,1.000,0.000,-1.000,0.000,0.000,0.203,0.171,0.089,-1
other,13.286,2.774,1.108,0.707,0.707,-0.000,-0.707,0.707,0.000,0.451,0.250,1.079,-1
other,13.716,2.104,1.008,1.000,0.000,0.000,0.000,1.000,0.000,0.138,0.079,0.176,-1
other,11.927,1.111,0.892,0.000,1.000,-0.000,-1.000,0.000,0.000,0.094,0.049,0.184,-1
other,11.542,2.760,0.985,0.000,1.000,0.000,-1.000,0.000,0.000,1.491,0.370,0.169,-1
other,12.415,0.228,0.316,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.149,0.791,0.265,-1
other,11.562,3.394,0.833,0.000,1.000,0.000,-1.000,0.000,0.000,0.199,0.171,0.084,-1
other,13.267,4.043,1.098,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.378,0.216,1.069,-1
picture,11.205,2.808,1.945,0.000,1.000,0.000,-1.000,0.000,0.000,1.463,0.099,1.031,1
picture,13.425,2.924,1.625,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.169,0.018,0.146,1
other,13.415,3.371,0.766,0.000,1.000,0.000,-1.000,0.000,0.000,0.462,0.302,0.022,-1
other,11.823,2.764,0.465,0.000,1.000,0.000,-1.000,0.000,0.000,1.488,0.088,0.436,-1
picture,11.502,1.298,1.562,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.160,0.029,0.228,1
