label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,2.881,-6.776,3.765,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.463,0.645,0.425,0
other,3.876,-9.882,3.705,0.924,0.383,0.000,-0.383,0.924,0.000,0.865,0.284,0.365,-1
decor,2.687,-6.627,4.526,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.317,0.161,0.439,0
other,4.141,-9.493,3.867,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.259,0.119,0.204,-1
picture,3.979,-8.642,4.995,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.214,0.063,0.539,1
picture,2.914,-6.706,4.628,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.615,0.223,0.501,1
other,3.665,-8.303,4.279,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.193,0.142,0.054,-1
storage,3.119,-10.060,3.596,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.194,0.194,0.276,1
other,3.597,-8.432,4.075,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.850,0.416,0.188,-1
decor,2.940,-6.453,4.433,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.224,0.098,0.317,0
other,3.409,-8.466,3.900,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.822,0.280,0.328,-1
picture,3.494,-7.924,5.007,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.236,0.067,0.502,1
