label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,4.537,-1.872,3.911,0.000,1.000,0.000,-1.000,0.000,0.000,0.411,0.089,0.260,-1
other,6.422,-2.546,3.930,0.000,1.000,0.000,-1.000,0.000,0.000,0.784,0.249,0.125,-1
storage,4.604,-1.849,4.701,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.156,0.422,0.060,1
other,6.616,-2.524,4.677,0.000,1.000,0.000,-1.000,0.000,0.000,0.824,0.379,0.721,-1
other,6.619,-2.562,4.006,1.000,0.000,0.000,0.000,1.000,0.000,0.358,0.331,0.158,-1
storage,4.584,-2.591,5.049,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.149,0.587,0.072,1
decor,5.133,-0.139,4.971,1.000,0.000,0.000,0.000,1.000,0.000,0.437,0.033,0.248,0
other,4.890,-2.563,5.715,0.000,1.000,0.000,-1.000,0.000,0.000,0.194,0.175,0.027,-1
other,5.652,-0.201,3.853,1.000,0.000,0.000,0.000,1.000,0.000,0.310,0.079,0.316,-1
other,4.650,-2.766,5.133,0.000,1.000,0.000,-1.000,0.000,0.000,0.314,0.080,0.106,-1
