label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,18.327,8.969,0.307,-1.000,0.000,0.000,0.000,-1.000,0.000,0.249,0.289,0.293,2
tv,18.828,10.406,1.436,0.924,-0.383,0.000,0.383,0.924,-0.000,0.094,0.516,0.371,2
storage,22.368,11.343,0.361,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.321,0.046,0.419,1
storage,18.916,11.295,0.482,1.000,0.000,0.000,0.000,1.000,0.000,0.402,0.089,0.552,1
other,18.369,7.014,2.925,0.000,1.000,0.000,-1.000,0.000,0.000,0.155,0.132,0.056,-1
sofa,20.550,10.338,0.170,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.277,0.528,0.225,2
picture,20.455,7.993,1.877,1.000,0.000,0.000,0.000,1.000,0.000,0.321,0.048,0.299,1
picture,17.917,8.950,1.658,0.000,1.000,-0.000,-1.000,0.000,0.000,0.222,0.035,0.252,1
table,19.455,8.206,0.601,1.000,0.000,0.000,0.000,1.000,0.000,0.296,0.260,0.194,0
bed,20.498,9.098,0.525,0.000,1.000,0.000,-1.000,0.000,0.000,1.155,0.920,0.593,2
storage,18.300,7.313,0.502,0.000,1.000,0.000,-1.000,0.000,0.000,0.645,0.268,0.572,1
table,21.628,8.206,0.496,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.265,0.256,0.110,0
decor,21.619,8.178,0.994,0.000,1.000,-0.000,-1.000,0.000,0.000,0.140,0.139,0.400,0
table,18.220,8.933,0.426,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.339,0.562,0.316,0
