label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,8.932,-5.860,0.228,0.000,1.000,0.000,-1.000,0.000,0.000,0.249,0.212,0.223,2
storage,10.990,-9.591,0.415,0.000,1.000,0.000,-1.000,0.000,0.000,0.584,0.285,0.313,1
sofa,10.302,-0.268,0.534,-0.924,-0.383,-0.000,0.383,-0.924,0.000,0.560,0.521,0.526,2
sofa,10.565,-6.929,0.333,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.416,0.431,0.338,2
sofa,7.822,-7.885,0.427,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.511,1.008,0.335,2
storage,7.331,-2.464,1.396,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.216,1.662,1.379,1
picture,10.864,-4.745,1.385,0.000,1.000,0.000,-1.000,0.000,0.000,0.297,0.008,0.248,1
picture,7.340,-6.369,1.521,0.000,1.000,0.000,-1.000,0.000,0.000,0.607,0.051,0.533,1
chair,10.028,-3.590,0.502,1.000,0.000,0.000,0.000,1.000,0.000,0.369,0.308,0.382,2
table,10.631,-3.382,0.726,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.604,0.596,0.113,0
chair,10.390,-2.880,0.491,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.336,0.292,0.400,2
sofa,8.150,-5.943,0.538,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.589,0.494,0.450,2
picture,11.259,-5.900,1.502,0.000,1.000,-0.000,-1.000,0.000,0.000,0.535,0.081,0.551,1
sofa,10.695,-8.452,0.318,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.398,0.455,0.340,2
picture,7.330,-8.104,1.521,0.000,1.000,0.000,-1.000,0.000,0.000,0.756,0.044,0.657,1
storage,7.640,-10.366,1.075,0.000,1.000,0.000,-1.000,0.000,0.000,0.217,0.333,0.657,1
sofa,8.025,-9.620,0.398,0.924,0.383,-0.000,-0.383,0.924,0.000,0.428,0.620,0.426,2
picture,7.631,-10.587,1.918,1.000,0.000,0.000,0.000,1.000,0.000,0.298,0.029,0.236,1
storage,11.017,-5.898,0.492,0.000,1.000,0.000,-1.000,0.000,0.000,0.607,0.283,0.322,1
table,10.706,-0.904,0.273,0.924,0.383,0.000,-0.383,0.924,0.000,0.266,0.259,0.253,0
table,10.854,-7.646,0.239,0.000,1.000,0.000,-1.000,0.000,0.000,0.347,0.244,0.245,0
