label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,1.105,16.308,0.471,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.576,0.491,0.441,2
other,-0.208,21.182,2.021,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.434,0.250,2.015,-1
sofa,-0.243,18.048,0.605,0.000,1.000,0.000,-1.000,0.000,0.000,1.517,1.833,0.575,2
decor,0.556,16.702,1.175,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.362,0.281,0.467,0
picture,-4.379,15.641,1.674,0.000,1.000,-0.000,-1.000,0.000,0.000,0.797,0.060,1.164,1
table,1.842,13.947,0.556,0.383,0.924,0.000,-0.924,0.383,0.000,0.535,0.356,0.527,0
chair,1.156,13.774,0.607,0.000,1.000,-0.000,-1.000,0.000,0.000,0.397,0.378,0.610,2
decor,-0.987,16.799,1.155,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.275,0.272,0.486,0
decor,-0.604,19.293,0.454,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.378,0.317,0.422,0
decor,-0.948,18.734,0.589,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.337,0.191,0.147,0
sofa,-1.263,16.271,0.486,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.613,0.532,0.458,2
sofa,-2.720,18.486,0.528,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.417,0.459,0.482,2
chair,2.067,14.805,0.709,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.444,0.377,0.707,2
table,-2.052,14.437,0.447,0.707,0.707,0.000,-0.707,0.707,0.000,0.537,0.504,0.399,0
chair,-2.413,14.747,0.523,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.294,0.323,0.473,2
sofa,-2.806,19.623,0.502,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.399,0.488,0.485,2
chair,-1.802,14.058,0.511,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.335,0.357,0.481,2
chair,-1.696,14.740,0.565,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.335,0.325,0.433,2
decor,2.119,13.826,1.354,0.924,0.383,-0.000,-0.383,0.924,0.000,0.302,0.185,0.456,0
other,-3.286,20.448,-0.843,0.000,1.000,0.000,-1.000,0.000,0.000,0.222,0.202,0.056,-1
decor,0.272,16.730,1.012,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.141,0.140,0.305,0
table,-0.096,16.689,0.441,1.000,0.000,0.000,0.000,1.000,0.000,0.970,0.286,0.410,0
table,-2.650,19.102,0.512,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.293,0.248,0.461,0
picture,-2.404,13.398,1.668,1.000,0.000,0.000,0.000,1.000,0.000,0.242,0.036,0.253,1
decor,-0.649,16.718,0.998,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.224,0.144,0.321,0
table,-0.615,18.711,0.281,1.000,0.000,0.000,0.000,1.000,0.000,0.812,0.426,0.251,0
decor,-2.040,14.420,0.955,0.707,0.707,0.000,-0.707,0.707,0.000,0.164,0.146,0.162,0
picture,1.819,13.431,1.598,1.000,0.000,0.000,0.000,1.000,0.000,0.493,0.057,0.646,1
chair,-2.466,13.983,0.500,0.924,0.383,-0.000,-0.383,0.924,0.000,0.304,0.348,0.469,2
storage,-2.206,21.239,0.775,1.000,0.000,0.000,0.000,1.000,0.000,0.669,0.192,0.775,1
other,-1.195,21.087,-0.858,0.383,0.924,0.000,-0.924,0.383,0.000,0.210,0.200,0.057,-1
