label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
storage,-17.016,-2.732,1.086,0.000,1.000,-0.000,-1.000,0.000,0.000,0.627,0.075,1.077,1
other,-16.851,-1.470,3.485,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.914,0.071,0.402,-1
table,-11.593,0.233,3.243,0.000,1.000,0.000,-1.000,0.000,0.000,0.298,0.211,0.165,0
storage,-11.644,0.558,2.059,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.482,0.214,0.679,1
decor,-13.371,0.831,1.222,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.124,0.106,0.130,0
bed,-12.353,-1.238,3.404,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.234,1.170,0.326,2
other,-14.384,-2.272,0.861,1.000,0.000,0.000,0.000,1.000,0.000,1.394,1.164,0.154,-1
storage,-15.088,0.551,2.058,1.000,0.000,0.000,0.000,1.000,0.000,0.467,0.222,0.679,1
other,-13.389,0.430,0.806,1.000,0.000,0.000,0.000,1.000,0.000,2.211,0.329,0.162,-1
storage,-11.575,-5.300,1.169,1.000,0.000,0.000,0.000,1.000,0.000,0.414,0.319,1.164,1
decor,-14.164,0.791,1.206,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.104,0.077,0.130,0
storage,-16.228,-5.238,1.212,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.487,0.387,1.207,1
chair,-14.993,-2.594,3.500,0.707,0.707,0.000,-0.707,0.707,0.000,0.547,0.431,0.435,2
storage,-17.070,0.557,2.010,1.000,0.000,0.000,0.000,1.000,0.000,0.598,0.200,0.719,1
storage,-17.331,-1.683,1.376,0.000,1.000,0.000,-1.000,0.000,0.000,1.782,0.366,1.369,1
other,-15.470,-2.086,0.783,0.000,1.000,0.000,-1.000,0.000,0.000,0.217,0.207,0.152,-1
decor,-12.563,0.750,1.207,1.000,0.000,0.000,0.000,1.000,0.000,0.084,0.039,0.115,0
other,-13.607,0.429,0.784,1.000,0.000,0.000,0.000,1.000,0.000,0.228,0.221,0.147,-1
other,-15.477,-2.273,0.784,0.000,1.000,0.000,-1.000,0.000,0.000,0.383,0.214,0.152,-1
table,-11.461,-2.673,3.437,1.000,0.000,0.000,0.000,1.000,0.000,0.325,0.322,0.368,0
decor,-11.367,-1.758,1.073,0.707,0.707,0.000,-0.707,0.707,0.000,0.181,0.119,0.144,0
other,-16.847,-1.723,3.753,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.956,0.318,0.360,-1
other,-17.067,-0.248,0.924,0.000,1.000,0.000,-1.000,0.000,0.000,1.001,0.610,0.092,-1
chair,-14.990,0.258,3.501,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.579,0.449,0.414,2
other,-13.387,0.425,0.781,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.377,0.203,0.144,-1
storage,-17.472,-0.266,1.981,0.000,1.000,0.000,-1.000,0.000,0.000,0.994,0.204,0.737,1
other,-15.801,-1.492,0.564,0.000,1.000,-0.000,-1.000,0.000,0.000,0.107,0.060,0.283,-1
