label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,3.287,-0.182,4.860,1.000,0.000,0.000,0.000,1.000,0.000,0.407,0.049,0.456,1
chair,5.228,-2.382,6.426,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.325,0.338,0.593,2
chair,1.186,-4.169,6.310,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.250,0.287,0.445,2
other,5.183,-4.396,3.844,0.924,0.383,-0.000,-0.383,0.924,0.000,0.306,0.267,0.896,-1
other,2.756,-2.430,6.232,1.000,0.000,0.000,0.000,1.000,0.000,0.325,0.277,0.454,-1
picture,2.389,-0.176,4.836,1.000,0.000,0.000,0.000,1.000,0.000,0.281,0.051,0.331,1
other,2.606,-1.535,6.699,0.924,0.383,-0.000,-0.383,0.924,0.000,0.107,0.095,0.473,-1
picture,0.978,-2.722,4.116,0.000,1.000,0.000,-1.000,0.000,0.000,0.263,0.030,0.243,1
picture,0.969,-2.837,4.797,0.000,1.000,-0.000,-1.000,0.000,0.000,0.384,0.040,0.466,1
decor,1.259,-4.109,3.917,1.000,0.000,0.000,0.000,1.000,0.000,0.117,0.085,0.376,0
picture,2.288,-0.186,6.582,1.000,0.000,0.000,0.000,1.000,0.000,0.183,0.035,0.253,1
bed,3.976,-3.212,6.256,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.033,0.965,0.471,2
picture,3.615,-5.458,5.007,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.483,0.044,0.403,1
picture,4.234,-0.181,4.857,1.000,0.000,0.000,0.000,1.000,0.000,0.281,0.044,0.324,1
decor,4.234,-0.239,4.028,1.000,0.000,0.000,0.000,1.000,0.000,0.107,0.104,0.316,0
decor,4.319,-0.341,6.503,1.000,0.000,0.000,0.000,1.000,0.000,0.372,0.242,0.666,0
