label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,4.209,5.053,0.458,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.361,0.264,0.485,2
sofa,3.916,2.617,0.463,0.383,0.924,-0.000,-0.924,0.383,0.000,0.461,0.458,0.496,2
picture,4.823,6.074,1.495,1.000,0.000,0.000,0.000,1.000,0.000,0.484,0.073,0.581,1
chair,5.268,5.225,0.482,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.339,0.246,0.474,2
picture,5.917,1.940,1.616,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.397,0.030,0.484,1
sofa,5.342,2.549,0.471,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.468,0.499,0.496,2
decor,4.690,2.419,0.896,0.707,0.707,-0.000,-0.707,0.707,0.000,0.160,0.150,0.313,0
decor,4.961,5.967,0.910,0.000,1.000,0.000,-1.000,0.000,0.000,0.182,0.158,0.178,0
storage,5.546,5.911,0.973,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.238,0.608,0.994,1
table,4.811,5.202,0.439,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.543,0.927,0.464,0
storage,3.899,5.916,0.779,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.238,0.525,0.811,1
table,4.602,2.422,0.311,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.521,0.167,0.343,0
decor,4.742,5.752,1.113,0.924,0.383,-0.000,-0.383,0.924,0.000,0.183,0.125,0.294,0
picture,3.598,1.949,1.630,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.396,0.026,0.504,1
decor,3.857,5.891,1.613,0.924,0.383,0.000,-0.383,0.924,0.000,0.365,0.179,0.218,0
picture,4.780,1.955,1.620,1.000,0.000,0.000,0.000,1.000,0.000,0.392,0.034,0.520,1
