label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-16.219,19.349,0.079,1.000,0.000,0.000,0.000,1.000,0.000,0.380,0.146,0.488,0
sofa,3.096,23.540,0.657,-0.924,0.383,-0.000,-0.383,-0.924,0.000,0.980,1.362,1.042,2
chair,-8.417,23.092,-0.035,0.000,1.000,0.000,-1.000,0.000,0.000,0.995,0.429,0.350,2
decor,-2.681,27.157,2.533,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.528,0.271,0.433,0
decor,-2.814,21.447,-0.103,-0.924,-0.383,0.000,0.383,-0.924,0.000,2.095,0.670,0.308,0
chair,-7.425,23.084,-0.040,0.000,1.000,0.000,-1.000,0.000,0.000,0.990,0.473,0.345,2
chair,-3.559,22.305,0.489,0.000,1.000,-0.000,-1.000,0.000,0.000,0.456,0.383,0.499,2
sofa,-10.612,22.407,0.226,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.913,0.880,0.656,2
chair,-9.206,23.042,-0.020,0.000,1.000,0.000,-1.000,0.000,0.000,0.997,0.496,0.365,2
decor,1.163,22.189,-0.084,0.000,1.000,0.000,-1.000,0.000,0.000,0.633,0.586,0.305,0
sofa,-6.054,22.814,0.274,0.383,0.924,0.000,-0.924,0.383,0.000,1.014,0.907,0.695,2
decor,-15.418,24.568,1.630,0.000,1.000,0.000,-1.000,0.000,0.000,1.451,1.137,1.411,0
decor,-5.087,20.207,0.930,0.924,0.383,-0.000,-0.383,0.924,0.000,0.645,0.599,0.864,0
