label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,6.803,-3.606,-2.189,0.000,1.000,-0.000,-1.000,0.000,0.000,0.285,0.269,0.415,2
other,5.955,-6.491,-0.683,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.085,0.053,0.008,-1
sofa,8.638,-6.530,-2.567,0.000,1.000,0.000,-1.000,0.000,0.000,0.515,0.823,0.425,2
picture,7.783,-8.015,-1.410,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.338,0.022,0.389,1
decor,7.483,-6.467,-2.340,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.183,0.159,0.638,0
decor,10.846,-5.308,-2.744,0.000,1.000,-0.000,-1.000,0.000,0.000,0.116,0.093,0.130,0
other,6.755,-3.139,-1.936,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.373,0.280,0.074,-1
sofa,8.767,-4.237,-2.560,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.510,0.744,0.425,2
chair,10.483,-4.621,-2.430,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.422,0.377,0.414,2
chair,6.103,-3.529,-2.370,0.000,1.000,0.000,-1.000,0.000,0.000,0.315,0.353,0.605,2
other,6.708,-3.100,-2.456,1.000,0.000,0.000,0.000,1.000,0.000,1.327,0.300,0.531,-1
chair,10.405,-6.023,-2.427,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.400,0.372,0.403,2
other,9.960,-8.051,-1.811,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.294,0.449,0.748,-1
storage,5.699,-5.423,-2.578,0.000,1.000,0.000,-1.000,0.000,0.000,1.477,0.316,0.421,1
