label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-2.138,-3.091,4.099,1.000,0.000,0.000,0.000,1.000,0.000,0.343,0.044,0.524,1
picture,-3.045,-3.098,3.960,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.472,0.026,0.397,1
picture,-0.757,-2.269,5.236,0.000,1.000,-0.000,-1.000,0.000,0.000,0.223,0.034,0.275,1
picture,-2.673,-3.093,4.780,1.000,0.000,0.000,0.000,1.000,0.000,0.216,0.031,0.258,1
picture,-1.574,-3.082,4.592,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.244,0.063,0.341,1
picture,-3.451,-1.828,3.841,0.000,1.000,-0.000,-1.000,0.000,0.000,0.175,0.022,0.196,1
picture,-2.868,-1.651,4.107,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.219,0.026,0.506,1
picture,-1.079,-3.131,4.845,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.300,0.029,0.649,1
picture,-2.572,-1.668,5.295,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.122,0.023,0.143,1
picture,-1.105,-3.117,3.914,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.246,0.021,0.303,1
picture,-0.798,-2.709,5.200,0.000,1.000,-0.000,-1.000,0.000,0.000,0.231,0.056,0.267,1
picture,-1.566,-3.116,3.924,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.252,0.027,0.351,1
picture,-2.029,-1.664,5.296,1.000,0.000,0.000,0.000,1.000,0.000,0.107,0.024,0.141,1
picture,-2.767,-1.687,3.872,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.261,0.045,0.306,1
picture,-1.154,-1.697,5.277,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.158,0.035,0.227,1
table,-1.202,-1.944,6.306,1.000,0.000,0.000,0.000,1.000,0.000,0.340,0.325,0.390,0
picture,-3.195,-3.092,4.760,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.320,0.031,0.434,1
picture,-2.278,-1.662,5.313,1.000,0.000,0.000,0.000,1.000,0.000,0.107,0.026,0.206,1
picture,-2.325,-1.650,4.598,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.407,0.087,0.563,1
other,-1.719,-2.306,5.193,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.100,0.064,0.205,-1
picture,-1.606,-1.678,5.054,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.331,0.043,0.446,1
picture,-3.466,-1.814,4.338,0.000,1.000,-0.000,-1.000,0.000,0.000,0.159,0.033,0.345,1
other,-3.066,-2.059,4.103,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.432,0.388,1.143,-1
picture,-1.659,-1.713,4.482,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.276,0.064,0.364,1
picture,-2.675,-3.100,4.042,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.207,0.029,0.474,1
picture,-1.627,-1.713,4.102,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.227,0.068,0.643,1
picture,-0.753,-1.868,5.189,0.000,1.000,-0.000,-1.000,0.000,0.000,0.185,0.041,0.325,1
