label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-13.337,-7.788,0.764,0.000,1.000,0.000,-1.000,0.000,0.000,1.231,0.426,0.093,0
other,-13.309,-8.211,2.076,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.267,0.122,0.224,-1
chair,-12.778,-8.568,0.805,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.126,0.462,0.261,2
chair,-13.830,-8.607,0.845,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.117,0.296,0.212,2
chair,-12.897,-7.957,0.766,-1.000,0.000,0.000,0.000,-1.000,0.000,0.231,0.291,0.286,2
table,-11.495,-7.232,3.447,1.000,0.000,0.000,0.000,1.000,0.000,0.400,0.293,0.367,0
picture,-11.182,-8.393,1.544,0.000,1.000,0.000,-1.000,0.000,0.000,1.139,0.060,0.597,1
chair,-12.861,-8.958,0.868,-1.000,0.000,0.000,0.000,-1.000,0.000,0.083,0.150,0.197,2
table,-11.454,-10.316,3.443,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.392,0.305,0.360,0
sofa,-14.825,-10.165,3.614,0.707,0.707,-0.000,-0.707,0.707,0.000,0.504,0.502,0.549,2
chair,-13.874,-8.016,0.766,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.124,0.339,0.292,2
