label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-0.560,-0.178,-0.179,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.510,0.356,0.432,2
sofa,2.856,0.409,-2.866,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.668,1.367,0.446,2
picture,5.682,-0.652,-1.983,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.460,0.085,0.616,1
sofa,-0.254,1.751,-2.900,0.383,-0.924,0.000,0.924,0.383,-0.000,0.529,1.188,0.393,2
picture,10.605,-2.977,-2.400,1.000,0.000,0.000,0.000,1.000,0.000,0.669,0.287,0.912,1
picture,3.448,-3.366,-2.280,1.000,0.000,0.000,0.000,1.000,0.000,1.636,0.036,0.946,1
picture,-0.270,2.239,-1.846,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.645,0.067,0.727,1
storage,7.306,-1.234,-2.210,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.197,0.460,1.101,1
sofa,1.728,2.006,-2.889,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.537,0.585,0.422,2
picture,6.192,-3.341,-2.002,1.000,0.000,0.000,0.000,1.000,0.000,0.357,0.014,0.456,1
storage,5.525,-0.668,-2.799,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.599,0.262,0.513,1
