label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-7.661,-6.534,0.438,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.998,0.472,0.443,0
sofa,-7.154,-5.353,0.507,-0.707,-0.707,-0.000,0.707,-0.707,0.000,0.515,0.420,0.487,2
picture,-6.399,-4.255,1.196,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.262,0.009,0.204,1
decor,-9.094,-7.728,1.733,0.383,0.924,-0.000,-0.924,0.383,0.000,0.834,0.817,1.311,0
picture,-6.389,-4.251,1.728,1.000,0.000,0.000,0.000,1.000,0.000,0.271,0.014,0.226,1
decor,-8.353,-6.295,1.013,1.000,0.000,0.000,0.000,1.000,0.000,0.300,0.259,0.216,0
decor,-9.190,-7.898,0.319,0.000,1.000,-0.000,-1.000,0.000,0.000,0.299,0.292,0.330,0
picture,-5.625,-6.473,1.392,0.000,1.000,0.000,-1.000,0.000,0.000,1.279,0.024,1.004,1
sofa,-7.745,-7.626,0.526,0.000,1.000,-0.000,-1.000,0.000,0.000,0.476,0.433,0.529,2
picture,-9.821,-5.039,1.465,0.000,1.000,-0.000,-1.000,0.000,0.000,0.314,0.027,0.497,1
