label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,52.339,-7.848,3.811,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.107,0.058,0.199,0
storage,52.529,-11.448,3.814,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.455,0.260,0.672,1
decor,53.312,-7.847,3.667,0.000,1.000,0.000,-1.000,0.000,0.000,0.102,0.090,0.082,0
decor,53.076,-7.850,3.793,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.186,0.108,0.180,0
chair,52.656,-9.792,3.568,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.401,0.689,0.431,2
decor,53.967,-7.846,3.795,0.707,0.707,-0.000,-0.707,0.707,0.000,0.176,0.173,0.178,0
chair,52.658,-9.020,3.542,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.402,0.827,0.395,2
decor,52.196,-11.539,4.557,1.000,0.000,0.000,0.000,1.000,0.000,0.126,0.106,0.100,0
decor,52.705,-7.902,3.836,1.000,0.000,0.000,0.000,1.000,0.000,0.206,0.160,0.223,0
table,53.531,-9.072,3.584,0.000,1.000,0.000,-1.000,0.000,0.000,0.645,0.262,0.451,0
