label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,8.629,7.843,1.841,0.000,1.000,-0.000,-1.000,0.000,0.000,0.829,0.463,1.849,-1
sofa,7.690,8.539,0.468,0.000,1.000,0.000,-1.000,0.000,0.000,0.501,0.451,0.463,2
storage,8.403,5.548,1.845,-0.383,-0.924,0.000,0.924,-0.383,0.000,1.629,0.649,1.843,1
storage,9.011,9.525,1.570,0.000,1.000,-0.000,-1.000,0.000,0.000,1.008,0.300,1.591,1
sofa,5.260,7.711,0.452,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.527,1.209,0.452,2
decor,5.223,4.163,1.202,1.000,0.000,0.000,0.000,1.000,0.000,0.210,0.191,0.340,0
tv,8.398,4.826,1.723,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.140,0.513,0.364,2
table,6.596,7.483,0.303,0.000,1.000,0.000,-1.000,0.000,0.000,0.624,0.619,0.294,0
picture,4.221,8.007,1.663,0.000,1.000,-0.000,-1.000,0.000,0.000,0.509,0.070,0.531,1
table,6.340,9.758,0.484,0.000,1.000,0.000,-1.000,0.000,0.000,0.537,1.087,0.494,0
decor,5.540,9.551,1.165,0.707,0.707,-0.000,-0.707,0.707,0.000,0.229,0.223,0.389,0
decor,6.673,4.147,1.204,1.000,0.000,0.000,0.000,1.000,0.000,0.202,0.188,0.351,0
chair,6.417,10.744,0.523,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.446,0.366,0.540,2
other,5.393,6.110,0.388,0.000,1.000,0.000,-1.000,0.000,0.000,0.493,0.330,0.381,-1
sofa,7.957,6.574,0.475,0.000,1.000,0.000,-1.000,0.000,0.000,0.548,0.448,0.458,2
storage,6.004,4.201,0.448,1.000,0.000,0.000,0.000,1.000,0.000,1.010,0.242,0.453,1
storage,4.735,6.822,4.654,0.000,1.000,-0.000,-1.000,0.000,0.000,0.070,0.024,0.508,1
