label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
decor,-10.903,8.196,1.087,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.185,0.076,0.169,0
decor,-10.694,8.315,1.019,1.000,0.000,0.000,0.000,1.000,0.000,0.157,0.045,0.091,0
storage,-9.166,6.799,1.384,1.000,0.000,0.000,0.000,1.000,0.000,1.606,1.514,1.423,1
decor,-10.486,8.193,1.054,1.000,0.000,0.000,0.000,1.000,0.000,0.224,0.160,0.145,0
storage,-10.397,6.745,0.898,0.000,1.000,-0.000,-1.000,0.000,0.000,0.552,0.283,0.938,1
other,-9.304,8.027,0.835,1.000,0.000,0.000,0.000,1.000,0.000,0.426,0.261,0.138,-1
storage,-10.430,7.491,0.417,0.000,1.000,-0.000,-1.000,0.000,0.000,0.328,0.086,0.439,1
storage,-7.951,7.748,0.444,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.391,0.062,0.466,1
storage,-10.509,6.709,2.023,0.000,1.000,-0.000,-1.000,0.000,0.000,0.583,0.259,0.752,1
storage,-9.527,5.975,0.397,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.991,0.445,0.441,1
storage,-8.622,5.955,4.015,0.000,1.000,0.000,-1.000,0.000,0.000,0.801,0.366,0.530,1
storage,-9.808,5.755,1.917,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.244,0.471,0.709,1
storage,-9.365,7.750,0.409,-1.000,0.000,0.000,-0.000,-1.000,0.000,1.126,0.089,0.440,1
storage,-10.466,5.904,0.440,0.000,1.000,-0.000,-1.000,0.000,0.000,0.357,0.061,0.478,1
