label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-8.191,6.591,0.718,1.000,0.000,0.000,0.000,1.000,0.000,0.378,0.303,0.496,2
table,-6.963,3.956,3.520,0.000,1.000,0.000,-1.000,0.000,0.000,0.387,0.265,0.290,0
chair,-6.215,3.582,3.670,-0.383,-0.924,-0.000,0.924,-0.383,0.000,0.447,0.365,0.416,2
chair,-8.234,5.125,0.690,1.000,0.000,0.000,0.000,1.000,0.000,0.350,0.346,0.523,2
chair,-9.085,8.018,0.665,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.476,0.338,0.535,2
chair,-6.747,5.021,0.714,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.378,0.378,0.494,2
chair,-6.753,5.823,0.736,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.369,0.482,0.475,2
table,-7.461,5.369,0.404,0.000,1.000,0.000,-1.000,0.000,0.000,1.696,0.621,0.384,0
chair,-8.168,4.322,0.706,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.398,0.346,0.504,2
chair,-5.913,8.027,0.718,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.478,0.324,0.495,2
other,-7.447,5.446,2.688,0.707,0.707,0.000,-0.707,0.707,0.000,0.152,0.147,0.018,-1
chair,-7.507,3.733,0.717,0.000,1.000,-0.000,-1.000,0.000,0.000,0.484,0.347,0.492,2
chair,-6.829,4.318,0.712,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.436,0.353,0.490,2
chair,-7.513,7.228,0.729,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.409,0.340,0.484,2
chair,-8.247,5.850,0.710,1.000,0.000,0.000,0.000,1.000,0.000,0.343,0.295,0.504,2
chair,-6.769,6.408,0.727,-1.000,-0.000,-0.000,0.000,-1.000,0.000,0.388,0.344,0.487,2
chair,-7.692,3.602,3.672,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.476,0.389,0.428,2
