label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,0.159,-7.765,2.238,0.000,1.000,0.000,-1.000,0.000,0.000,0.134,0.006,0.108,1
picture,3.979,-4.763,1.692,0.000,1.000,0.000,-1.000,0.000,0.000,0.349,0.026,0.338,1
storage,2.049,-7.927,0.743,0.000,1.000,-0.000,-1.000,0.000,0.000,0.228,0.438,0.747,1
chair,3.094,-7.343,0.593,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.188,0.309,0.335,2
picture,0.888,-6.123,2.042,0.000,1.000,0.000,-1.000,0.000,0.000,0.780,0.013,0.118,1
picture,0.897,-6.393,2.299,0.000,1.000,0.000,-1.000,0.000,0.000,0.145,0.008,0.113,1
bed,3.906,-6.010,0.818,-1.000,0.000,0.000,0.000,-1.000,0.000,0.119,0.894,0.402,2
other,2.134,-4.170,1.334,1.000,0.000,0.000,0.000,1.000,0.000,0.707,0.226,0.403,-1
other,2.892,-4.248,1.254,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.136,0.103,0.294,-1
other,1.125,-4.909,1.682,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.129,0.053,0.237,-1
storage,3.334,-7.553,1.410,0.000,1.000,0.000,-1.000,0.000,0.000,0.648,0.670,0.648,1
storage,1.391,-8.124,0.739,0.000,1.000,0.000,-1.000,0.000,0.000,0.090,0.356,0.751,1
picture,0.892,-7.108,2.169,0.000,1.000,-0.000,-1.000,0.000,0.000,0.171,0.009,0.254,1
picture,2.388,-8.185,1.966,1.000,0.000,0.000,0.000,1.000,0.000,0.216,0.022,0.211,1
bed,2.980,-5.823,0.551,-1.000,-0.000,-0.000,0.000,-1.000,0.000,1.048,0.869,0.541,2
tv,3.693,-7.887,1.010,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.253,0.262,0.222,2
storage,2.231,-4.337,0.512,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.285,0.822,0.490,1
table,3.384,-7.594,0.698,1.000,0.000,0.000,0.000,1.000,0.000,0.609,0.603,0.141,0
tv,1.046,-5.132,1.700,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.151,0.288,0.258,2
picture,0.896,-6.744,2.289,0.000,1.000,0.000,-1.000,0.000,0.000,0.511,0.014,0.141,1
table,3.730,-4.806,0.295,0.000,1.000,0.000,-1.000,0.000,0.000,0.307,0.220,0.272,0
picture,0.894,-6.041,2.294,0.000,1.000,0.000,-1.000,0.000,0.000,0.153,0.011,0.128,1
picture,0.903,-7.098,2.289,0.000,1.000,0.000,-1.000,0.000,0.000,0.152,0.010,0.122,1
storage,1.144,-5.093,0.764,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.287,0.539,0.756,1
storage,3.224,-4.120,0.440,-0.000,-1.000,0.000,1.000,-0.000,0.000,0.183,0.339,0.433,1
picture,0.618,-8.195,1.625,1.000,0.000,0.000,0.000,1.000,0.000,0.455,0.015,0.608,1
other,1.073,-5.453,1.579,0.707,0.707,-0.000,-0.707,0.707,0.000,0.057,0.045,0.134,-1
