label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
bed,4.849,10.360,-1.862,1.000,0.000,0.000,0.000,1.000,0.000,1.076,0.918,0.371,2
table,6.338,9.199,0.452,1.000,0.000,0.000,0.000,1.000,0.000,0.486,0.410,0.445,0
decor,4.109,9.071,-1.408,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.263,0.257,0.381,0
storage,5.329,7.909,-1.272,0.000,1.000,-0.000,-1.000,0.000,0.000,0.340,0.167,0.983,1
table,4.062,9.089,-1.989,1.000,0.000,0.000,0.000,1.000,0.000,0.292,0.279,0.261,0
decor,4.010,11.544,-1.369,1.000,0.000,0.000,0.000,1.000,0.000,0.253,0.252,0.388,0
chair,6.290,8.352,0.545,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.399,0.447,0.536,2
decor,5.271,11.740,0.257,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.274,0.193,0.082,0
decor,4.955,11.800,0.416,1.000,0.000,0.000,0.000,1.000,0.000,0.233,0.194,0.242,0
table,4.047,11.491,-1.956,0.000,1.000,0.000,-1.000,0.000,0.000,0.299,0.289,0.245,0
decor,4.842,11.542,0.289,0.000,1.000,0.000,-1.000,0.000,0.000,0.140,0.122,0.112,0
chair,6.371,10.030,0.508,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.361,0.518,0.518,2
decor,5.297,11.429,0.258,0.000,1.000,0.000,-1.000,0.000,0.000,0.205,0.112,0.081,0
decor,5.684,11.607,0.325,0.000,1.000,0.000,-1.000,0.000,0.000,0.243,0.133,0.151,0
