label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-12.168,-13.891,2.115,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.500,0.050,0.115,-1
decor,-9.317,-10.373,1.240,1.000,0.000,0.000,0.000,1.000,0.000,0.242,0.209,0.193,0
picture,-12.312,-13.810,1.490,1.000,0.000,0.000,0.000,1.000,0.000,0.358,0.035,0.503,1
table,-11.555,-9.855,0.355,1.000,0.000,0.000,0.000,1.000,0.000,0.358,0.304,0.357,0
picture,-9.130,-11.296,1.589,0.000,1.000,0.000,-1.000,0.000,0.000,0.399,0.049,0.350,1
table,-13.724,-9.897,0.386,0.000,1.000,-0.000,-1.000,0.000,0.000,0.342,0.302,0.390,0
storage,-12.211,-13.633,1.482,0.000,1.000,-0.000,-1.000,0.000,0.000,0.259,0.848,1.488,1
bed,-12.724,-10.715,0.418,-0.000,-1.000,-0.000,1.000,-0.000,0.000,1.115,0.970,0.423,2
decor,-13.671,-9.961,1.329,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.139,0.092,0.140,0
picture,-10.094,-10.188,1.579,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.665,0.054,0.961,1
other,-12.589,-10.785,0.051,1.000,0.000,0.000,0.000,1.000,0.000,1.477,0.803,0.062,-1
sofa,-9.866,-10.990,0.512,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.585,0.835,0.526,2
