label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
picture,-15.409,10.510,0.387,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.686,0.113,0.394,1
other,-16.592,9.788,-0.532,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.704,0.196,0.028,-1
chair,-16.727,5.850,0.411,0.383,-0.924,-0.000,0.924,0.383,-0.000,0.322,0.270,0.395,2
chair,-22.451,7.275,0.376,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.256,0.225,0.313,2
sofa,-17.167,9.413,0.243,0.383,0.924,0.000,-0.924,0.383,0.000,0.657,0.651,0.248,2
sofa,-23.422,7.696,0.175,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.234,0.229,0.195,2
sofa,-17.082,6.632,0.411,-0.383,0.924,-0.000,-0.924,-0.383,0.000,0.602,1.412,0.424,2
storage,-14.715,5.221,-2.264,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.912,0.249,0.417,1
chair,-22.410,5.004,0.082,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.316,0.315,0.174,2
other,-15.327,6.291,-0.534,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.650,0.190,0.028,-1
decor,-25.152,8.261,0.475,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.293,0.229,0.574,0
chair,-14.178,5.304,0.445,1.000,0.000,-0.000,0.000,1.000,0.000,0.370,0.349,0.450,2
sofa,-21.806,3.166,0.243,-0.383,0.924,-0.000,-0.924,-0.383,0.000,0.609,1.004,0.332,2
chair,-22.970,6.454,0.184,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.223,0.213,0.183,2
chair,-17.643,5.625,0.364,0.924,-0.383,-0.000,0.383,0.924,0.000,0.483,0.333,0.373,2
other,-17.515,5.538,-0.527,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.673,0.223,0.032,-1
storage,-15.177,10.182,-1.677,-0.383,0.924,0.000,-0.924,-0.383,0.000,1.241,0.248,0.993,1
sofa,-13.666,7.175,-2.459,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.255,0.628,0.098,2
other,-18.845,8.959,-0.526,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.659,0.143,0.032,-1
chair,-23.721,6.854,0.234,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.242,0.215,0.211,2
