label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,-26.173,-8.983,0.600,-1.000,0.000,0.000,0.000,-1.000,0.000,0.667,0.775,0.572,2
decor,-30.257,-10.889,1.277,1.000,0.000,0.000,0.000,1.000,0.000,0.609,0.408,0.828,0
other,-26.267,-10.552,0.789,0.707,0.707,0.000,-0.707,0.707,0.000,0.472,0.324,0.360,-1
table,-30.566,-6.483,0.509,0.000,1.000,0.000,-1.000,0.000,0.000,0.489,0.285,0.470,0
table,-30.520,-9.713,0.534,0.000,1.000,0.000,-1.000,0.000,0.000,0.510,0.290,0.467,0
storage,-29.630,-5.232,1.009,1.000,0.000,0.000,0.000,1.000,0.000,0.586,0.277,0.983,1
decor,-30.555,-9.701,1.291,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.252,0.244,0.379,0
decor,-30.593,-6.522,1.257,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.262,0.243,0.383,0
storage,-25.799,-6.882,1.182,0.000,1.000,-0.000,-1.000,0.000,0.000,0.873,0.292,1.168,1
decor,-28.119,-8.073,2.849,1.000,0.000,0.000,0.000,1.000,0.000,0.764,0.760,0.083,0
bed,-29.649,-8.116,0.793,1.000,0.000,0.000,0.000,1.000,0.000,1.086,1.072,0.391,2
picture,-25.592,-6.878,1.577,0.000,1.000,0.000,-1.000,0.000,0.000,0.462,0.011,0.371,1
tv,-25.609,-8.641,2.066,0.000,1.000,0.000,-1.000,0.000,0.000,0.624,0.102,0.409,2
