label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
chair,18.388,-4.309,0.553,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.521,0.480,0.440,2
decor,12.191,-5.605,0.938,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.309,0.301,0.687,0
table,12.723,-5.759,0.435,0.000,1.000,0.000,-1.000,0.000,0.000,0.584,0.252,0.291,0
storage,12.478,-8.258,0.356,1.000,0.000,0.000,0.000,1.000,0.000,0.952,0.240,0.375,1
sofa,15.010,-7.391,0.710,0.000,1.000,-0.000,-1.000,0.000,0.000,0.524,0.464,0.614,2
table,20.088,-3.001,0.427,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.753,0.282,0.443,0
table,19.318,-5.527,0.232,0.000,1.000,0.000,-1.000,0.000,0.000,0.539,0.535,0.239,0
table,14.920,-5.878,0.251,0.000,1.000,0.000,-1.000,0.000,0.000,0.657,0.452,0.237,0
other,21.683,-5.634,2.794,0.000,1.000,-0.000,-1.000,0.000,0.000,1.501,0.668,2.811,-1
table,20.322,-8.275,0.386,1.000,0.000,0.000,0.000,1.000,0.000,0.761,0.277,0.400,0
decor,18.185,-3.087,4.373,0.383,0.924,-0.000,-0.924,0.383,0.000,0.298,0.265,0.968,0
decor,14.944,-2.995,4.386,-0.707,0.707,0.000,-0.707,-0.707,0.000,0.266,0.262,0.959,0
sofa,13.471,-5.840,0.456,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.663,1.110,0.471,2
chair,18.140,-6.494,0.545,0.924,0.383,-0.000,-0.383,0.924,0.000,0.524,0.467,0.448,2
table,14.014,-4.329,0.343,0.707,0.707,0.000,-0.707,0.707,0.000,0.340,0.321,0.288,0
sofa,14.948,-4.355,0.481,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.502,0.448,0.471,2
decor,14.988,-5.864,0.610,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.129,0.127,0.171,0
