label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
sofa,-1.074,-5.696,0.364,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.246,0.759,0.187,2
decor,-3.318,-4.203,1.190,-0.707,-0.707,0.000,0.707,-0.707,0.000,0.229,0.168,0.335,0
picture,-0.569,-3.684,1.064,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.319,0.031,0.283,1
picture,-3.587,-5.735,1.768,0.000,1.000,0.000,-1.000,0.000,0.000,0.663,0.060,0.421,1
decor,-3.292,-7.051,1.214,-0.383,0.924,0.000,-0.924,-0.383,0.000,0.215,0.156,0.296,0
table,-3.389,-7.126,0.499,0.000,1.000,0.000,-1.000,0.000,0.000,0.471,0.229,0.434,0
picture,-0.554,-3.681,2.058,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.302,0.030,0.259,1
storage,0.778,-5.243,0.461,0.000,1.000,0.000,-1.000,0.000,0.000,0.949,0.244,0.421,1
picture,0.929,-5.400,1.632,0.000,1.000,-0.000,-1.000,0.000,0.000,0.679,0.101,0.834,1
table,-3.378,-4.225,0.445,0.000,1.000,0.000,-1.000,0.000,0.000,0.469,0.231,0.393,0
sofa,-0.087,-4.153,0.437,-0.383,-0.924,0.000,0.924,-0.383,0.000,0.455,0.471,0.419,2
decor,0.668,-6.047,1.193,0.707,0.707,-0.000,-0.707,0.707,0.000,0.252,0.134,0.336,0
decor,0.595,-4.071,1.184,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.492,0.412,0.616,0
bed,-2.415,-5.717,0.696,1.000,-0.000,-0.000,0.000,1.000,-0.000,1.205,1.114,0.644,2
picture,-0.547,-3.684,1.557,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.296,0.033,0.243,1
