label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
table,-0.330,3.120,0.471,1.000,0.000,0.000,0.000,1.000,0.000,0.445,0.289,0.290,0
other,1.066,1.310,0.250,0.707,0.707,0.000,-0.707,0.707,0.000,0.235,0.203,0.216,-1
table,-2.584,-1.076,0.374,0.924,0.383,-0.000,-0.383,0.924,0.000,0.310,0.233,0.340,0
decor,1.349,1.772,0.963,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.108,0.073,0.190,0
tv,0.983,-0.795,1.163,-0.707,0.707,-0.000,-0.707,-0.707,0.000,0.112,0.498,0.336,2
other,-1.247,0.463,0.051,-1.000,0.000,0.000,-0.000,-1.000,0.000,2.198,0.507,0.032,-1
decor,-3.429,3.259,0.789,1.000,0.000,0.000,0.000,1.000,0.000,0.147,0.137,0.177,0
bed,-1.704,2.208,0.540,-0.000,-1.000,-0.000,1.000,0.000,0.000,1.176,1.271,0.515,2
decor,1.351,1.849,1.528,0.383,0.924,-0.000,-0.924,0.383,0.000,0.755,0.250,0.767,0
table,1.087,2.058,0.441,0.000,1.000,0.000,-1.000,0.000,0.000,1.104,0.341,0.418,0
other,-0.424,3.305,1.359,0.000,1.000,-0.000,-1.000,0.000,0.000,0.106,0.088,0.492,-1
decor,-3.534,-0.298,0.050,1.000,0.000,0.000,0.000,1.000,0.000,0.190,0.185,0.029,0
chair,-3.186,-0.776,0.467,0.707,0.707,0.000,-0.707,0.707,0.000,0.506,0.475,0.443,2
other,-3.171,3.310,1.365,0.000,1.000,-0.000,-1.000,0.000,0.000,0.111,0.100,0.510,-1
decor,1.376,2.668,0.757,0.000,1.000,-0.000,-1.000,0.000,0.000,0.107,0.051,0.125,0
table,-3.260,3.102,0.479,1.000,0.000,0.000,0.000,1.000,0.000,0.412,0.295,0.184,0
chair,0.662,2.129,0.486,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.335,0.304,0.451,2
decor,-2.581,-1.037,0.957,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.189,0.138,0.272,0
