label,px,py,pz,a0x,a0y,a0z,a1x,a1y,a1z,r0,r1,r2,sym
other,-14.184,-25.915,0.207,0.707,0.707,0.000,-0.707,0.707,0.000,0.232,0.231,0.183,-1
chair,-17.339,-24.380,0.514,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.240,0.370,0.519,2
tv,-18.396,-24.555,1.285,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.104,0.736,0.518,2
chair,-16.130,-25.967,0.484,-0.924,-0.383,0.000,0.383,-0.924,0.000,0.439,0.351,0.501,2
other,-14.943,-23.649,3.502,0.000,1.000,0.000,-1.000,0.000,0.000,0.418,0.178,0.116,-1
other,-16.184,-26.378,3.505,-1.000,0.000,0.000,-0.000,-1.000,0.000,0.653,0.179,0.089,-1
chair,-16.592,-26.519,0.533,0.000,1.000,0.000,-1.000,0.000,0.000,0.363,0.592,0.548,2
other,-17.437,-24.548,3.586,0.000,1.000,0.000,-1.000,0.000,0.000,1.310,0.273,0.187,-1
chair,-17.330,-25.896,0.514,0.924,-0.383,-0.000,0.383,0.924,-0.000,0.300,0.312,0.519,2
chair,-15.900,-24.407,0.528,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.310,0.360,0.524,2
chair,-17.358,-23.732,0.673,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.280,0.404,0.400,2
chair,-17.441,-25.271,0.536,1.000,-0.000,-0.000,0.000,1.000,-0.000,0.320,0.470,0.545,2
chair,-16.042,-25.259,0.521,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.337,0.318,0.505,2
chair,-17.015,-26.595,0.510,0.000,1.000,-0.000,-1.000,0.000,0.000,0.361,0.328,0.520,2
other,-16.154,-22.658,3.507,1.000,0.000,0.000,0.000,1.000,0.000,0.666,0.184,0.087,-1
chair,-15.934,-23.722,0.513,-0.924,0.383,0.000,-0.383,-0.924,0.000,0.343,0.341,0.522,2
table,-16.589,-24.872,0.366,0.000,1.000,0.000,-1.000,0.000,0.000,1.615,0.736,0.377,0
chair,-16.833,-23.090,0.672,-0.000,-1.000,-0.000,1.000,0.000,0.000,0.311,0.423,0.364,2
chair,-16.199,-23.140,0.520,0.707,-0.707,-0.000,0.707,0.707,-0.000,0.352,0.374,0.518,2
